unicode_id,sign_grapheme,transliteration
U+1230D,𒌍,u u u
U+1230E,𒌎,u / u pa / pa gar / gar
U+1230F,𒌏,u / u sur / sur
U+12310,𒌐,u / u u reversed / u reversed
U+12311,𒌑,u₂
U+12312,𒌒,ub
U+12313,𒌓,ud
U+12314,𒌔,ud kushu₂
U+12315,𒌕,ud × bad
U+12316,𒌖,ud × mi
U+12317,𒌗,ud × u + u + u
U+12318,𒌘,ud × u + u + u gunu
U+12319,𒌙,ud gunu
U+1231A,𒌚,ud sheshig
U+1231B,𒌛,ud sheshig × bad
U+1231C,𒌜,udug
U+1231D,𒌝,um
U+1231E,𒌞,um × lagab
U+1231F,𒌟,um × me + da
U+12320,𒌠,um × sha₃
U+12321,𒌡,um × u
U+12322,𒌢,umbin
U+12323,𒌣,umum
U+12324,𒌤,umum × kaskal
U+12325,𒌥,umum × pa
U+12326,𒌦,un
U+12327,𒌧,un gunu
U+12328,𒌨,ur
U+12329,𒌩,ur crossing ur
U+1232A,𒌪,ur sheshig
U+1232B,𒌫,ur₂
U+1232C,𒌬,ur₂ × a + ha
U+1232D,𒌭,ur₂ × a + na
U+1232E,𒌮,ur₂ × al
U+1232F,𒌯,ur₂ × ha
U+12330,𒌰,ur₂ × nun
U+12331,𒌱,ur₂ × u₂
U+12332,𒌲,ur₂ × u₂ + ash
U+12333,𒌳,ur₂ × u₂ + bi
U+12334,𒌴,ur₄
U+12335,𒌵,uri
U+12336,𒌶,uri₃
U+12337,𒌷,uru
U+12338,𒌸,uru × a
U+12339,𒌹,uru × ashgab
U+1233A,𒌺,uru × bar
U+1233B,𒌻,uru × dun
U+1233C,𒌼,uru × ga
U+1233D,𒌽,uru × gal
U+1233E,𒌾,uru × gan₂ tenu
U+1233F,𒌿,uru × gar
U+12340,𒍀,uru × gu
U+12341,𒍁,uru × ha
U+12342,𒍂,uru × igi
U+12343,𒍃,uru × im
U+12344,𒍄,uru × ish
U+12345,𒍅,uru × ki
U+12346,𒍆,uru × lum
U+12347,𒍇,uru × min
U+12348,𒍈,uru × pa
U+12349,𒍉,uru × she
U+1234A,𒍊,uru × sig₄
U+1234B,𒍋,uru × tu
U+1234C,𒍌,uru × u + gud
U+1234D,𒍍,uru × ud
U+1234E,𒍎,uru × uruda
U+1234F,𒍏,uruda
U+12350,𒍐,uruda × u
U+12351,𒍑,ush
U+12352,𒍒,ush × a
U+12353,𒍓,ush × ku
U+12354,𒍔,ush × kur
U+12355,𒍕,ush × tak₄
U+12356,𒍖,ushx
U+12357,𒍗,ush₂
U+12358,𒍘,ushumx
U+12359,𒍙,utuki
U+1235A,𒍚,uz₃
U+1235B,𒍛,uz₃ × kaskal
U+1235C,𒍜,uzu
U+1235D,𒍝,za
U+1235E,𒍞,za tenu
U+1235F,𒍟,za squared × kur
U+12360,𒍠,zag
U+12361,𒍡,zamx
U+12362,𒍢,ze₂
U+12363,𒍣,zi
U+12364,𒍤,zi / zi
U+12365,𒍥,zi₃
U+12366,𒍦,zib
U+12367,𒍧,zib kaba tenu
U+12368,𒍨,zig
U+12369,𒍩,ziz₂
U+1236A,𒍪,zu
U+1236B,𒍫,zu₅
U+1236C,𒍬,zu₅ × a
U+1236D,𒍭,zubur
U+1236E,𒍮,zum
U+1236F,𒍯,kap elamite
U+12370,𒍰,ab × nun
U+12371,𒍱,ab₂ × a
U+12372,𒍲,amar × kug
U+12373,𒍳,dag kisim₅ × u₂ + mash
U+12374,𒍴,dag₃
U+12375,𒍵,dish + shu
U+12376,𒍶,dub × she
U+12377,𒍷,ezen × gud
U+12378,𒍸,ezen × she
U+12379,𒍹,ga₂ × an + kak + a
U+1237A,𒍺,ga₂ × ash₂
U+1237B,𒍻,ge₂₂
U+1237C,𒍼,gig
U+1237D,𒍽,hush
U+1237E,𒍾,ka × anshe
U+1237F,𒍿,ka × ash₃
U+12380,𒎀,ka × gish
U+12381,𒎁,ka × gud
U+12382,𒎂,ka × hi × ash₂
U+12383,𒎃,ka × lum
U+12384,𒎄,ka × pa
U+12385,𒎅,ka × shul
U+12386,𒎆,ka × tu
U+12387,𒎇,ka × ur₂
U+12388,𒎈,lagab × gi
U+12389,𒎉,lu₂ sheshig × bad
U+1238A,𒎊,lu₂ × esh₂ + lal
U+1238B,𒎋,lu₂ × shu
U+1238C,𒎌,mesh
U+1238D,𒎍,mush₃ × za
U+1238E,𒎎,na₄
U+1238F,𒎏,nin
U+12390,𒎐,nin₉
U+12391,𒎑,ninda₂ × bal
U+12392,𒎒,ninda₂ × gi
U+12393,𒎓,nu₁₁ rot. ninety degrees
U+12394,𒎔,pesh₂ *
U+12395,𒎕,pir₂
U+12396,𒎖,sag × igi gunu
U+12397,𒎗,ti₂
U+12398,𒎘,um × me
U+12399,𒎙,u u
U+12400,𒐀,two ash
U+12401,𒐁,three ash
U+12402,𒐂,four ash
U+12403,𒐃,five ash
U+12404,𒐄,six ash
U+12405,𒐅,seven ash
U+12406,𒐆,eight ash
U+12407,𒐇,nine ash
U+12408,𒐈,three dish
U+12409,𒐉,four dish
U+1240A,𒐊,five dish
U+1240B,𒐋,six dish
U+1240C,𒐌,seven dish
U+1240D,𒐍,eight dish
U+1240E,𒐎,nine dish
U+1240F,𒐏,four u
U+12410,𒐐,five u
U+12411,𒐑,six u
U+12412,𒐒,seven u
U+12413,𒐓,eight u
U+12414,𒐔,nine u
U+12415,𒐕,one gesh₂
U+12416,𒐖,two gesh₂
U+12417,𒐗,three gesh₂
U+12418,𒐘,four gesh₂
U+12419,𒐙,five gesh₂
U+1241A,𒐚,six gesh₂
U+1241B,𒐛,seven gesh₂
U+1241C,𒐜,eight gesh₂
U+1241D,𒐝,nine gesh₂
U+1241E,𒐞,one geshu
U+1241F,𒐟,two geshu
U+12420,𒐠,three geshu
U+12421,𒐡,four geshu
U+12422,𒐢,five geshu
U+12423,𒐣,two shar₂
U+12424,𒐤,three shar₂
U+12425,𒐥,three shar₂ variant form
U+12426,𒐦,four shar₂
U+12427,𒐧,five shar₂
U+12428,𒐨,six shar₂
U+12429,𒐩,seven shar₂
U+1242A,𒐪,eight shar₂
U+1242B,𒐫,nine shar₂
U+1242C,𒐬,one sharu
U+1242D,𒐭,two sharu
U+1242E,𒐮,three sharu
U+1242F,𒐯,three sharu variant form
U+12430,𒐰,four sharu
U+12431,𒐱,five sharu
U+12432,𒐲,shar₂ × gal + dish
U+12433,𒐳,shar₂ × gal + min
U+12434,𒐴,one buru
U+12435,𒐵,two buru
U+12436,𒐶,three buru
U+12437,𒐷,three buru variant form
U+12438,𒐸,four buru
U+12439,𒐹,five buru
U+1243A,𒐺,three variant form esh₁₆
U+1243B,𒐻,three variant form esh₂₁
U+1243C,𒐼,four variant form limmu
U+1243D,𒐽,four variant form limmu₄
U+1243E,𒐾,four variant form limmu a
U+1243F,𒐿,four variant form limmu b
U+12440,𒑀,six variant form ash₉
U+12441,𒑁,seven variant form imin₃
U+12442,𒑂,seven variant form imin a
U+12443,𒑃,seven variant form imin b
U+12444,𒑄,eight variant form ussu
U+12445,𒑅,eight variant form ussu₃
U+12446,𒑆,nine variant form ilimmu
U+12447,𒑇,nine variant form ilimmu₃
U+12448,𒑈,nine variant form ilimmu₄
U+12449,𒑉,nine variant form ilimmu a
U+1244A,𒑊,two ash tenu
U+1244B,𒑋,three ash tenu
U+1244C,𒑌,four ash tenu
U+1244D,𒑍,five ash tenu
U+1244E,𒑎,six ash tenu
U+1244F,𒑏,one ban₂
U+12450,𒑐,two ban₂
U+12451,𒑑,three ban₂
U+12452,𒑒,four ban₂
U+12453,𒑓,four ban₂ variant form
U+12454,𒑔,five ban₂
U+12455,𒑕,five ban₂ variant form
U+12456,𒑖,nigidamin
U+12457,𒑗,nigidaesh
U+12458,𒑘,one eshe₃
U+12459,𒑙,two eshe₃
U+1245A,𒑚,one third dish
U+1245B,𒑛,two thirds dish
U+1245C,𒑜,five sixths dish
U+1245D,𒑝,one third variant form a
U+1245E,𒑞,two thirds variant form a
U+1245F,𒑟,one eighth ash
U+12460,𒑠,one quarter ash
U+12461,𒑡,old assyrian one sixth
U+12462,𒑢,old assyrian one quarter
U+12463,𒑣,one quarter gur
U+12464,𒑤,one half gur
U+12465,𒑥,elamite one third
U+12466,𒑦,elamite two thirds
U+12467,𒑧,elamite forty
U+12468,𒑨,elamite fifty
U+12469,𒑩,four u variant form
U+1246A,𒑪,five u variant form
U+1246B,𒑫,six u variant form
U+1246C,𒑬,seven u variant form
U+1246D,𒑭,eight u variant form
U+1246E,𒑮,nine u variant form
U+12470,𒑰,cuneiform punctuation sign old assyrian word divider
U+12471,𒑱,cuneiform punctuation sign vertical colon
U+12472,𒑲,cuneiform punctuation sign diagonal colon
U+12473,𒑳,cuneiform punctuation sign diagonal tricolon
U+12474,𒑴,cuneiform punctuation sign diagonal quadcolon
U+12480,𒒀,ab × nun tenu
U+12481,𒒁,ab × shu₂
U+12482,𒒂,ad × esh₂
U+12483,𒒃,bad × dish tenu
U+12484,𒒄,bahar₂ × ab₂
U+12485,𒒅,bahar₂ × ni
U+12486,𒒆,bahar₂ × za
U+12487,𒒇,bu / bu × na₂
U+12488,𒒈,da × tak₄
U+12489,𒒉,dag × kur
U+1248A,𒒊,dim × igi
U+1248B,𒒋,dim × u u u
U+1248C,𒒌,dim₂ × ud
U+1248D,𒒍,dug × anshe
U+1248E,𒒎,dug × ash
U+1248F,𒒏,dug × ash at left
U+12490,𒒐,dug × din
U+12491,𒒑,dug × dun
U+12492,𒒒,dug × erin₂
U+12493,𒒓,dug × ga
U+12494,𒒔,dug × gi
U+12495,𒒕,dug × gir₂ gunu
U+12496,𒒖,dug × gish
U+12497,𒒗,dug × ha
U+12498,𒒘,dug × hi
U+12499,𒒙,dug × igi gunu
U+1249A,𒒚,dug × kaskal
U+1249B,𒒛,dug × kur
U+1249C,𒒜,dug × kushu₂
U+1249D,𒒝,dug × kushu₂ + kaskal
U+1249E,𒒞,dug × lak-020
U+1249F,𒒟,dug × lam
U+124A0,𒒠,dug × lam × kur
U+124A1,𒒡,dug × luh + gish
U+124A2,𒒢,dug × mash
U+124A3,𒒣,dug × mes
U+124A4,𒒤,dug × mi
U+124A5,𒒥,dug × ni
U+124A6,𒒦,dug × pi
U+124A7,𒒧,dug × she
U+124A8,𒒨,dug × si gunu
U+124A9,𒒩,e₂ × kur
U+124AA,𒒪,e₂ × pap
U+124AB,𒒫,erin₂ x
U+124AC,𒒬,esh₂ crossing esh₂
U+124AD,𒒭,ezen sheshig × ash
U+124AE,𒒮,ezen sheshig × hi
U+124AF,𒒯,ezen sheshig × igi gunu
U+124B0,𒒰,ezen sheshig × la
U+124B1,𒒱,ezen sheshig × lal
U+124B2,𒒲,ezen sheshig × me
U+124B3,𒒳,ezen sheshig × mes
U+124B4,𒒴,ezen sheshig × su
U+124B5,𒒵,ezen × su
U+124B6,𒒶,ga₂ × bahar₂
U+124B7,𒒷,ga₂ × dim gunu
U+124B8,𒒸,ga₂ × dug × igi gunu
U+124B9,𒒹,ga₂ × dug × kaskal
U+124BA,𒒺,ga₂ × eren
U+124BB,𒒻,ga₂ × ga
U+124BC,𒒼,ga₂ × gar + di
U+124BD,𒒽,ga₂ × gar + ne
U+124BE,𒒾,ga₂ × ha + a
U+124BF,𒒿,ga₂ × kushu₂ + kaskal
U+124C0,𒓀,ga₂ × lam
U+124C1,𒓁,ga₂ × lam × kur
U+124C2,𒓂,ga₂ × luh
U+124C3,𒓃,ga₂ × mush
U+124C4,𒓄,ga₂ × ne
U+124C5,𒓅,ga₂ × ne + e₂
U+124C6,𒓆,ga₂ × ne + gi
U+124C7,𒓇,ga₂ × shim
U+124C8,𒓈,ga₂ × ziz₂
U+124C9,𒓉,gaba rot. ninety degrees
U+124CA,𒓊,geshtin × u
U+124CB,𒓋,gish × gish crossing gish
U+124CC,𒓌,gu₂ × igi gunu
U+124CD,𒓍,gud + gish × tak₄
U+124CE,𒓎,ha tenu gunu
U+124CF,𒓏,hi × ash / hi × ash
U+124D0,𒓐,ka × bu
U+124D1,𒓑,ka × ka
U+124D2,𒓒,ka × u u u
U+124D3,𒓓,ka × ur
U+124D4,𒓔,lagab × zu / zu
U+124D5,𒓕,lak-003
U+124D6,𒓖,lak-021
U+124D7,𒓗,lak-025
U+124D8,𒓘,lak-030
U+124D9,𒓙,lak-050
U+124DA,𒓚,lak-051
U+124DB,𒓛,lak-062
U+124DC,𒓜,lak-079 / lak-079 gunu
U+124DD,𒓝,lak-080
U+124DE,𒓞,lak-081 / lak-081
U+124DF,𒓟,lak-092
U+124E0,𒓠,lak-130
U+124E1,𒓡,lak-142
U+124E2,𒓢,lak-210
U+124E3,𒓣,lak-219
U+124E4,𒓤,lak-220
U+124E5,𒓥,lak-225
U+124E6,𒓦,lak-228
U+124E7,𒓧,lak-238
U+124E8,𒓨,lak-265
U+124E9,𒓩,lak-266
U+124EA,𒓪,lak-343
U+124EB,𒓫,lak-347
U+124EC,𒓬,lak-348
U+124ED,𒓭,lak-383
U+124EE,𒓮,lak-384
U+124EF,𒓯,lak-390
U+124F0,𒓰,lak-441
U+124F1,𒓱,lak-449
U+124F2,𒓲,lak-449 × gu
U+124F3,𒓳,lak-449 × igi
U+124F4,𒓴,lak-449 × pap + lu₃
U+124F5,𒓵,lak-449 × pap + pap + lu₃
U+124F6,𒓶,lak-449 × u₂ + ba
U+124F7,𒓷,lak-450
U+124F8,𒓸,lak-457
U+124F9,𒓹,lak-470
U+124FA,𒓺,lak-483
U+124FB,𒓻,lak-490
U+124FC,𒓼,lak-492
U+124FD,𒓽,lak-493
U+124FE,𒓾,lak-495
U+124FF,𒓿,lak-550
U+12500,𒔀,lak-608
U+12501,𒔁,lak-617
U+12502,𒔂,lak-617 × ash
U+12503,𒔃,lak-617 × bad
U+12504,𒔄,lak-617 × dun₃ gunu gunu
U+12505,𒔅,lak-617 × ku₃
U+12506,𒔆,lak-617 × la
U+12507,𒔇,lak-617 × tar
U+12508,𒔈,lak-617 × te
U+12509,𒔉,lak-617 × u₂
U+1250A,𒔊,lak-617 × ud
U+1250B,𒔋,lak-617 × uruda
U+1250C,𒔌,lak-636
U+1250D,𒔍,lak-648
U+1250E,𒔎,lak-648 × dub
U+1250F,𒔏,lak-648 × ga
U+12510,𒔐,lak-648 × igi
U+12511,𒔑,lak-648 × igi gunu
U+12512,𒔒,lak-648 × ni
U+12513,𒔓,lak-648 × pap + pap + lu₃
U+12514,𒔔,lak-648 × shesh + ki
U+12515,𒔕,lak-648 × ud
U+12516,𒔖,lak-648 × uruda
U+12517,𒔗,lak-724
U+12518,𒔘,lak-749
U+12519,𒔙,lu₂ gunu × ash
U+1251A,𒔚,lu₂ × dish
U+1251B,𒔛,lu₂ × hal
U+1251C,𒔜,lu₂ × pap
U+1251D,𒔝,lu₂ × pap + pap + lu₃
U+1251E,𒔞,lu₂ × tak₄
U+1251F,𒔟,mi + za₇
U+12520,𒔠,mush / mush × ga
U+12521,𒔡,mush / mush × kak
U+12522,𒔢,ninda₂ × dim gunu
U+12523,𒔣,ninda₂ × gish
U+12524,𒔤,ninda₂ × gul
U+12525,𒔥,ninda₂ × hi
U+12526,𒔦,ninda₂ × kesh₂
U+12527,𒔧,ninda₂ × lak-050
U+12528,𒔨,ninda₂ × mash
U+12529,𒔩,ninda₂ × pap + pap
U+1252A,𒔪,ninda₂ × u
U+1252B,𒔫,ninda₂ × u + u
U+1252C,𒔬,ninda₂ × uruda
U+1252D,𒔭,sag gunu × ha
U+1252E,𒔮,sag × en
U+1252F,𒔯,sag × she at left
U+12530,𒔰,sag × tak₄
U+12531,𒔱,sha₆ tenu
U+12532,𒔲,she / she
U+12533,𒔳,she + hub₂
U+12534,𒔴,she + nam₂
U+12535,𒔵,she + sar
U+12536,𒔶,shu₂ + dug × ni
U+12537,𒔷,shu₂ + e₂ × an
U+12538,𒔸,si × tak₄
U+12539,𒔹,tak₄ + sag
U+1253A,𒔺,tum × gan₂ tenu
U+1253B,𒔻,tum × three dish
U+1253C,𒔼,ur₂ inv.
U+1253D,𒔽,ur₂ × ud
U+1253E,𒔾,uru × dara₃
U+1253F,𒔿,uru × lak-668
U+12540,𒕀,uru × lu₃
U+12541,𒕁,za₇
U+12542,𒕂,zu / zu + sar
U+12543,𒕃,zu₅ × three dish tenu
