unicode_id,sign_grapheme,unicodeTrLit,syllabarySign,PhoneticsVersion
U+12000,𒀀,a,A,'U4 | 'u4 | A | AIA2 | AYA2 | BARX(A) | BUNIĜX(A) | BURX(A) | DUR5 | DURU5 | E4 | EA | EBIR3 | EMX(A) | EPIR3 | EŠ10 | IA10 | ID5 | ME5 | MU14 | SEDX(A) | YA10 | a | aia2 | aya2 | barx(A) | buniĝx(A) | burx(A) | dur5 | duru5 | e4 | ea | ebir3 | emx(A) | epir3 | eš10 | ia10 | id5 | me5 | mu14 | sedx(A) | ya10 | ĜA10 | ĝa10 | ŠEGX(A) | šegx(A) | ŢUR5 | ţur5
U+12001,𒀁,a × a,A×A,AYA2-AYA2 | A×A | EDUR | EDURU | aya2-aya2 | edur | eduru
U+12002,𒀂,a × bad,A×BAD,AGAM | A×BAD | agam
U+12003,𒀃,a × gan₂ tenu,A×GAN2@t,A×GAN2@t
U+12004,𒀄,a × ha,A×HA,A×HA | SAH7 | SAHA7 | ZAH3 | ZAHA3 | sah7 | saha7 | zah3 | zaha3
U+12005,𒀅,a × igi,A×IGI,A×IGI | ER6 | IR6 | ISIŠ3 | er6 | ir6 | isiš3 | ŠEŠ3 | šeš3
U+12006,𒀆,a × lagar gunu,A×LAGAR@g,A×LAGAR@G | A×LAGAR@g | ŠEDU3 | šedu3
U+12007,𒀇,a × mush,A×MUŠ,AMUŠ | AMUŠA | A×MUŠ | EMUŠ | amuš | amuša | emuš
U+12008,𒀈,a × sag,A×SAG,A×SAG | ESAG | ESAĜ | esag | esaĝ
U+12009,𒀉,a₂,A2,A2 | AH5 | AHI2 | ED | ET | EŢ | ID | IDI2 | IT | IŢ | TE8 | TI8 | a2 | ah5 | ahi2 | ed | et | eţ | id | idi2 | it | iţ | te8 | ti8
U+1200A,𒀊,ab,AB,AB | ABA | ABBA | AGARINX(AB) | AP | AŠX(AB) | ERI12 | ES3 | ESA3 | EZ3 | EŞ3 | EŠ3 | EŠA3 | EŠEX(AB) | GIRABA | IRI12 | IS3 | IZ3 | IŞ3 | IŠ7 | UNU5 | ab | aba | abba | agarinx(AB) | ap | ašx(AB) | eri12 | es3 | esa3 | ez3 | eş3 | eš3 | eša3 | ešex(AB) | giraba | iri12 | is3 | iz3 | iş3 | iš7 | unu5
U+1200B,𒀋,ab × ash₂,AB×AŠ2,ABBA2 | AB×AŠ2 | abba2
U+1200C,𒀌,ab × dun₃ gunu,AB×DUN3@g,AB×DUN3@G | AB×DUN3@g | AGARIN | AĜARIN | agarin | aĝarin
U+1200D,𒀍,ab × gal,AB×GAL,AB×GAL | ERIGAL | EŠGAL | IRIGAL | UNUGI2 | URUGAL | erigal | ešgal | irigal | unugi2 | urugal
U+1200E,𒀎,ab × gan₂ tenu,AB×GAN2@t,AB×GAN2@T | AB×GAN2@t | AGARIN2 | AĜARIN2 | agarin2 | aĝarin2
U+1200F,𒀏,ab × ha,AB×HA,AB×HA | NANŠE | NAZI | NAŠŠE | NIGIN6 | NINA | NIĜIN6 | SIRARA | SIRARAN | nanše | nazi | našše | nigin6 | nina | niĝin6 | sirara | siraran
U+12010,𒀐,ab × igi gunu,AB×IGI@g,AB×IGI@G | AB×IGI@g | UNUGI | unugi
U+12011,𒀑,ab × imin,AB×IMIN,AB×IMIN | EŠEMEN4 | EŠEMIN4 | ešemen4 | ešemin4
U+12012,𒀒,ab × lagab,AB×LAGAB,AB×LAGAB | NIGINX(|AB×LAGAB|) | niginx(|AB×LAGAB|)
U+12013,𒀓,ab × shesh,AB×ŠEŠ,AB×ŠEŠ | ZE4 | ZI4 | ze4 | zi4
U+12014,𒀔,ab × u + u + u,AB×U+U+U,AB×U+U+U | ERIMX(|AB×U+U+U|) | GUNUX(|AB×U+U+U|) | GUNX(|AB×U+U+U|) | NUX(|AB×U+U+U|) | SIRARAX(|AB×U+U+U|) | UNUGX(|AB×U+U+U|) | UNUX(|AB×U+U+U|) | URUGALX(|AB×U+U+U|) | URUKX(|AB×U+U+U|) | erimx(|AB×U+U+U|) | gunux(|AB×U+U+U|) | gunx(|AB×U+U+U|) | nux(|AB×U+U+U|) | sirarax(|AB×U+U+U|) | unugx(|AB×U+U+U|) | unux(|AB×U+U+U|) | urugalx(|AB×U+U+U|) | urukx(|AB×U+U+U|) | AB×UxU+U | ERIMX(|AB×UxU+U|) | GUNUX(|AB×UxU+U|) | GUNX(|AB×UxU+U|) | NUX(|AB×UxU+U|) | SIRARAX(|AB×UxU+U|) | UNUGX(|AB×UxU+U|) | UNUX(|AB×UxU+U|) | URUGALX(|AB×UxU+U|) | URUKX(|AB×UxU+U|) | erimx(|AB×UxU+U|) | gunux(|AB×UxU+U|) | gunx(|AB×UxU+U|) | nux(|AB×UxU+U|) | sirarax(|AB×UxU+U|) | unugx(|AB×UxU+U|) | unux(|AB×UxU+U|) | urugalx(|AB×UxU+U|) | urukx(|AB×UxU+U|)
U+12015,𒀕,ab gunu,AB@g,AB4 | AB@G | AB@g | ABA4 | ERI11 | ERIM5 | ERIN5 | GUN4 | GUNA4 | GUNU4 | IRI11 | NU7 | SIRARA5 | UNU | UNUG | URUGAL2 | URUK | URUĜAL2 | ab4 | aba4 | eri11 | erim5 | erin5 | gun4 | guna4 | gunu4 | iri11 | nu7 | sirara5 | unu | unug | urugal2 | uruk | uruĝal2
U+12016,𒀖,ab₂,AB2,AB2 | AP2 | LE8 | LI8 | LID | LIT | LITI | LIŢ | LIŢI | REM2 | REME2 | RIM2 | RIMU2 | ab2 | ap2 | le8 | li8 | lid | lit | liti | liţ | liţi | rem2 | reme2 | rim2 | rimu2
U+12017,𒀗,ab₂ × balag,AB2×BALAG,AB2×BALAG | LILIS | LILIZ | lilis | liliz
U+12018,𒀘,ab₂ × gan₂ tenu,AB2×GAN2@t,AB2×GAN2@T | AB2×GAN2@t | KIR6 | QIR6 | kir6 | qir6 | ŠEM5 | šem5
U+12019,𒀙,ab₂ × me + en,AB2×ME+EN,AB2×ME+EN | MEZE | UB6 | meze | ub6 | ŠEM4 | šem4 | AB2×MExEN
U+1201A,𒀚,ab₂ × sha₃,AB2×ŠA3,AB2×ŠA3 | GIR9 | KIR2 | KIRI9 | LIBIŠ | LIPIŠ | UB3 | gir9 | kir2 | kiri9 | libiš | lipiš | ub3 | ŠAGX(|AB2×ŠA3|) | ŠEM3 | šagx(|AB2×ŠA3|) | šem3
U+1201B,𒀛,ab₂ × tak₄,AB2×TAK4,AB2×TAK4 | GIRX(|AB2×TAK4|) | KIRX(|AB2×TAK4|) | LIBIŠX(|AB2×TAK4|) | UB5 | UBA5 | girx(|AB2×TAK4|) | kirx(|AB2×TAK4|) | libišx(|AB2×TAK4|) | ub5 | uba5 | ŠAGX(|AB2×TAK4|) | ŠEM6 | šagx(|AB2×TAK4|) | šem6
U+1201C,𒀜,ad,AD,AB3 | ABA3 | AD | ADA | AP3 | AT | AŢ | ab3 | aba3 | ad | ada | ap3 | at | aţ
U+1201D,𒀝,ak,AK,A5 | AG | AK | AKA | AKIX(AK) | AQ | AQA | AĜ | KE3 | KI3 | KID3 | ME6 | NA3 | RA6 | a5 | ag | ak | aka | akix(AK) | aq | aqa | aĝ | ke3 | ki3 | kid3 | me6 | na3 | ra6 | ŠA5 | ša5
U+1201E,𒀞,ak × erin₂,AK×ERIN2,AK×ERIN2 | ME3 | me3
U+1201F,𒀟,ak × shita + gish,AK×ŠITA+GIŠ,AK×ŠITA+GIŠ | ME11 | me11 | AK×ŠITAxGIŠ
U+12020,𒀠,al,AL,AL | ALA3 | IL10 | MAH2 | MAHA2 | al | ala3 | il10 | mah2 | maha2
U+12021,𒀡,al × al,AL×AL,AL×AL | BAL3 | bal3
U+12022,𒀢,al × dim₂,AL×DIM2,AL×DIM2 | LIDIM | lidim
U+12023,𒀣,al × gish,AL×GIŠ,AL×GIŠ | GIŠBAR | GIŠMAŠ | gišbar | gišmaš | ĜEŠMAŠ | ĝešmaš
U+12024,𒀤,al × ha,AL×HA,AL×HA | HIBIRA | hibira
U+12025,𒀥,al × kad₃,AL×KAD3,AL×KAD3 | DUBAL | dubal
U+12026,𒀦,al × ki,AL×KI,AL×KI | BAL4 | DUBAL2 | bal4 | dubal2
U+12027,𒀧,al × she,AL×ŠE,AL×ŠE | IL6 | il6
U+12028,𒀨,al × ush,AL×UŠ,AL×UŠ | HIBIS2 | HIBIZ2 | hibis2 | hibiz2 | ŠUŠBAR | ŠUŠMAŠ | šušbar | šušmaš
U+12029,𒀩,alan,ALAN,AL2 | ALAG | ALALA | ALAM | ALAN | ALAĜ | BELILI | KAŠŠEBA2 | KAŠŠEBI2 | al2 | alag | alala | alam | alan | alaĝ | belili | kaššeba2 | kaššebi2
U+1202A,𒀪,aleph,ALEPH,'A | 'E | 'I | 'U | 'a | 'e | 'i | 'u | A' | AH4 | ALEPH | E' | EH2 | I' | IH2 | U' | UH5 | UMUN4 | a' | ah4 | e' | eh2 | i' | ih2 | u' | uh5 | umun4
U+1202B,𒀫,amar,AMAR,AMAR | MAR2 | MARA2 | MARAD | SURX(AMAR) | ZUR | amar | mar2 | mara2 | marad | surx(AMAR) | zur | ŞAR2 | ŞUR | ŞURU | şar2 | şur | şuru
U+1202C,𒀬,amar × she,AMAR×ŠE,AMAR×ŠE | DISGUR | SISKUR | SIZKUR | SIŠKUR | disgur | siskur | sizkur | siškur
U+1202D,𒀭,an,AN,/DIMER/ | /dimer/ | A11 | AM6 | AN | ANA2 | ANU | D | DALHAMUNX(AN) | DIBUR | DIGIR | DIMER | DIMIR | DIMMER | DINER | DINGIR | DINGIRA | DINIR | DIR3 | DIĜIR | EL3 | EŠŠU2 | IL3 | ILA | ILI | ILU | LE4 | SA8 | USANX(AN) | ZA5 | a11 | am6 | an | ana2 | anu | d | dalhamunx(AN) | dibur | digir | dimer | dimir | dimmer | diner | dingir | dingira | dinir | dir3 | diĝir | el3 | eššu2 | il3 | ila | ili | ilu | le4 | sa8 | usanx(AN) | za5 | ŞA3 | şa3 | ŠUBUL | šubul
U+1202E,𒀮,an / an,|AN&AN|,malₓ | mulₓ | nab | nap | nubₓ | tillaₓ
U+1202F,𒀯,an three ×,ANx3,ANX3 | ANx3 | KUNGA3 | KUNGI3 | MUL | MULU | MUNX(|ANX3|) | NAP2 | SUHUB2 | kunga3 | kungi3 | mul | mulu | munx(|ANx3|) | nap2 | suhub2 | ŠUHUB2 | ŠUN2 | šuhub2 | šun2
U+12030,𒀰,an + naga opposing an + naga,|(AN.NAGA)@(AN.NAGA)|,dalhamun₅ | dalhamunₓ
U+12031,𒀱,an + naga squared,|4×(AN.NAGA)|,dalhamun₄
U+12032,𒀲,anshe,ANŠE,ANŠE | ANŠU | anše | anšu | ŠAKAN3 | šakan3
U+12033,𒀳,apin,APIN,ABSIN3 | ABŠIN3 | APIN | APINA | BIN | ENGAR | ENGARA | EREŠ4 | ERIŠ4 | PIN | UR11 | URU4 | UŠ8 | absin3 | abšin3 | apin | apina | bin | engar | engara | ereš4 | eriš4 | pin | ur11 | uru4 | uš8
U+12034,𒀴,arad,ARAD,...KI | ...ki | ARAD | ARDA | ER3 | ERAD | ERI3 | ERU | ERUM | IR3 | IRDA | NINTAH2 | NINTAX(ARAD) | NITA2 | NITAH2 | SUBARRUMX(ARAD) | SUBURX(ARAD) | URDA | URDU | WAR3 | WARDU | arad | arda | er3 | erad | eri3 | eru | erum | ir3 | irda | nintah2 | nintax(ARAD) | nita2 | nitah2 | subarrumx(ARAD) | suburx(ARAD) | urda | urdu | war3 | wardu | ŠUBUR2 | šubur2
U+12035,𒀵,arad × kur,ARAD×KUR,/ĜEREŠ/ | /ĝereš/ | ARAD2 | ARAD×KUR | GE24 | GEME3 | GEREŠ3 | GIRIŠ3 | IR11 | KIRAŠ | NITAX(|ARAD×KUR|) | URDA2 | URDU2 | arad2 | ge24 | geme3 | gereš3 | giriš3 | ir11 | kiraš | nitax(|ARAD×KUR|) | urda2 | urdu2
U+12036,𒀶,arkab,GAR.IB,ARGAB | ARKAB | GAR.IB | IRKAB | argab | arkab | irkab
U+12037,𒀷,asal₂,ASAL2,ASAL2
U+12038,𒀸,ash,AŠ,1AŠ | 1aš | ANA3 | AS3 | AZ3 | AŞ3 | AŠ | AŠA | AŠŠA | DAL3 | DEL | DELE | DELI | DEŠ2 | DIL | DILI | DIŠ2 | EŠ18 | EŠ20 | GE15 | GEŠ4 | IN6 | INA | LIRI2 | LIRU2 | LIRUM2 | MAKAŠ2 | MAKKAŠ2 | RAM2 | RIM5 | RU3 | RUM | SAGTAG | SAGTAK | SALUGUB | SANTA | SANTAG | SANTAK | SAĜTAK | SIMED | TAL3 | TEŠ | TIL4 | ZUX(AŠ) | ana3 | as3 | az3 | aş3 | aš | aša | ašša | dal3 | del | dele | deli | deš2 | dil | dili | diš2 | eš18 | eš20 | ge15 | geš4 | in6 | ina | liri2 | liru2 | lirum2 | makaš2 | makkaš2 | ram2 | rim5 | ru3 | rum | sagtag | sagtak | salugub | santa | santag | santak | saĝtak | simed | tal3 | teš | til4 | zux(AŠ) | ŠUP2 | šup2 | ŢIL | ţil
U+12039,𒀹,ash zida tenu,AŠ@t,1(aš@t) | aš₁₁ | aš@t | del₄ | dele₄ | deš₅ | dil₄ | dili₄ | diš@t | 1(diš@t) | eš₁₈ | ge₂₃ | iš₈ | sagtag₃ | sagtak₃ | saŋtaₓ | saŋtak₃ | santa₃ | santag₃ | santak₃ | ubu | uburaₓ | upaₓ | upuₓ | uzaglal | uzaraₓ | 1/2(iku) | 1(iku@t) | 1(aš@t@c)
U+1203A,𒀺,ash kaba tenu,AŠ@k,ulilₓ | utaqaₓ | uzalagₓ | uzalakₓ
U+1203B,𒀻,ash / ash tug₂ / tug₂ tug₂ / tug₂ pap,|AŠ&AŠ.TUG₂&TUG₂.TUG₂&TUG₂.PAP|,gašmu
U+1203C,𒀼,ash / ash / ash,|AŠ&AŠ&AŠ|,eš₁₆ | šušur | 3(aš@v) | 3(aš~a) | eš₁₆
U+1203D,𒀽,ash / ash / ash crossing ash / ash / ash,|(AŠ&AŠ&AŠ)%(AŠ&AŠ&AŠ)|,kad₈ | šušur₂
U+1203E,𒀾,ash₂,AŠ2,AS2 | ASA2 | AZ2 | AŚ | AŞ2 | AŠ2 | AŠA2 | BAEŠ | BANEŠ | DAŠ3 | DEŠŠU | TAŠ3 | UD2 | UDEŠŠU | UT2 | UTU5 | as2 | asa2 | az2 | aś | aş2 | aš2 | aša2 | baeš | baneš | daš3 | deššu | taš3 | ud2 | udeššu | ut2 | utu5
U+1203F,𒀿,ashgab,AŠGAB,AŠGAB | ERIB | IRIB | ašgab | erib | irib | ŠIGAGU | ŠIKANGU | šigagu | šikangu
U+12040,𒁀,ba,BA,BA | BE4 | BI6 | LIBIT | PA2 | WA2 | ba | be4 | bi6 | libit | pa2 | wa2
U+12041,𒁁,bad,BAD,BA9 | BAD | BADA | BARA4 | BAT | BATA | BAŢ | BE | BI4 | BID2 | DIHI | DIM7 | EDIM | EŠ7 | IDIN | MAT2 | ME4 | MIT | MITU | MIŢ | MUD2 | MUT2 | PAD2 | PAT2 | PAX(BAD) | PAŢ2 | PE3 | PI3 | QIT3 | SUGIN | SUNGIN | TI5 | TILE | ULAL | ZAR5 | ZARA5 | ZAZ | ZIS | ZIZ | ZU4 | ZURU9 | ba9 | bad | bada | bara4 | bat | bata | baţ | be | bi4 | bid2 | dihi | dim7 | edim | eš7 | idin | mat2 | me4 | mit | mitu | miţ | mud2 | mut2 | pad2 | pat2 | pax(BAD) | paţ2 | pe3 | pi3 | qit3 | sugin | sungin | ti5 | tile | ulal | zar5 | zara5 | zaz | zis | ziz | zu4 | zuru9 | ŞIŞ | şiş | ŢIL2 | ţil2
U+12042,𒁂,bag₃,BAG3,BAG3 | BAK3 | bag3 | bak3
U+12043,𒁃,bahar₂,BAHAR2,/ALLURA/ | /allura/ | ALURX(BAHAR2) | BAHAR2 | LIL7 | LILLU | MUŠTAPTIN | NUNURRA | NUNURRU | alurx(BAHAR2) | bahar2 | lil7 | lillu | muštaptin | nunurra | nunurru
U+12044,𒁄,bal,BAL,BAL | BALA | BALAK | BUL3 | KULX(BAL) | PAL | PALA4 | PUL3 | bal | bala | balak | bul3 | kulx(BAL) | pal | pala4 | pul3
U+12045,𒁅,bal / bal,|BAL&BAL|,minbulugₓ
U+12046,𒁆,balag,BALAG,BALAG | BALAĜ | BULUG5 | BULUNX(BALAG) | BULUĜ5 | BUM2 | GUD10 | GUDU10 | LUMHA | TAKA\+ | balag | balaĝ | bulug5 | bulunx(BALAG) | buluĝ5 | bum2 | gud10 | gudu10 | lumha | taka\+
U+12047,𒁇,bar,BAR,BA15 | BAR | BARA | BARE | PAR2 | PARA2 | SUTU | WAR | ba15 | bar | bara | bare | par2 | para2 | sutu | war
U+12048,𒁈,bara₂,BARA2,BAR2 | BARA2 | BARAG | PAR6 | PARA10 | PARAG | bar2 | bara2 | barag | par6 | para10 | parag | ŠA23 | ŠAR6 | ŠARA | ša23 | šar6 | šara
U+12049,𒁉,bi,BI,BE2 | BI | BIZ | DUGX(BI) | EBIRX(BI) | EPIR2 | EŠEMEN5 | EŠEMIN5 | GAŠ | HUBURX(BI) | KA8 | KAS2 | KAŞ | KAŠ | PE2 | PI2 | SA18 | SIRIS4 | SU15 | be2 | bi | biz | dugx(BI) | ebirx(BI) | epir2 | ešemen5 | ešemin5 | gaš | huburx(BI) | ka8 | kas2 | kaş | kaš | pe2 | pi2 | sa18 | siris4 | su15 | ŠA21 | ŠU13 | ša21 | šu13
U+1204A,𒁊,bi × a,BI×A,BI×A
U+1204B,𒁋,bi × gar,BI×GAR,BAPPIR3 | BAPPIRA3 | BI×GAR | LUNGAX(|BI×GAR|) | bappir3 | bappira3 | lungax(|BI×GAR|)
U+1204C,𒁌,bi × igi gunu,BI×IGI@g,BI×IGI@G | BI×IGI@g | ŠEMBI3 | ŠIMBI3 | šembi3 | šimbi3
