unicode_id,allograph_sign,compound_form,component_position,allograph_ucun,allographCompound_cun,allographCompound_useq,signList_analogue
X,|DAG.KISIM₅×(U₂.GIR₂)|,|E.KISIM₅×(U₂.GIR₂)|,2,,𒂊X,U+1208A; X,ABZL170 [Old Babylonian (~2000–1600 BCE) | School texts]; MZL453 [Standard Babylonian (any period) | Akkado-Babylonian]; SLLHA290 [Standard Babylonian (any period) | Akkado-Babylonian]
U+12079,DIŠ,|DIŠ.DIŠ.DIŠ|,1,𒁹,,U+12079; U+12079; U+12079,LAK820^d [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK834^a [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK854^b [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY276 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL390 [Old Babylonian (~2000–1600 BCE) | School texts]; HZL356 [Hittite period (~1650–1180 BCE) | Hittite]; MZL748 [Standard Babylonian (any period) | Akkado-Babylonian]; RSP005 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA480 [Standard Babylonian (any period) | Akkado-Babylonian]; SYA242 [Standard Babylonian (any period) | Akkadian syllabary]
U+12079,DIŠ,|DIŠ.DIŠ.DIŠ|,2,𒁹,,U+12079; U+12079; U+12079,LAK820^d [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK834^a [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK854^b [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY276 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL390 [Old Babylonian (~2000–1600 BCE) | School texts]; HZL356 [Hittite period (~1650–1180 BCE) | Hittite]; MZL748 [Standard Babylonian (any period) | Akkado-Babylonian]; RSP005 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA480 [Standard Babylonian (any period) | Akkado-Babylonian]; SYA242 [Standard Babylonian (any period) | Akkadian syllabary]
U+12079,DIŠ,|DIŠ.DIŠ.DIŠ|,3,𒁹,,U+12079; U+12079; U+12079,LAK820^d [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK834^a [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK854^b [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY276 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL390 [Old Babylonian (~2000–1600 BCE) | School texts]; HZL356 [Hittite period (~1650–1180 BCE) | Hittite]; MZL748 [Standard Babylonian (any period) | Akkado-Babylonian]; RSP005 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA480 [Standard Babylonian (any period) | Akkado-Babylonian]; SYA242 [Standard Babylonian (any period) | Akkadian syllabary]
U+12244,|DUB.NAGAR|,|NAGAR.DUB|,1,𒉄,𒉄𒁾,U+12244; U+1207E,
U+1207E,|DUB.NAGAR|,|NAGAR.DUB|,2,𒁾,𒉄𒁾,U+12244; U+1207E,
X,|DUB.NAGAR|,|UM×KUL.NAGAR|,1,,X𒉄,X; U+12244,
U+12244,|DUB.NAGAR|,|UM×KUL.NAGAR|,2,𒉄,X𒉄,X; U+12244,
U+1234F,|DUB.NAGAR|,|URUDA.NAGAR|,1,𒍏,𒍏𒉄,U+1234F; U+12244,
U+12244,|DUB.NAGAR|,|URUDA.NAGAR|,2,𒉄,𒍏𒉄,U+1234F; U+12244,
U+121B3,|E₂.KUR.BAD|,|KUR.BAD|,1,𒆳,𒆳𒁁,U+121B3; U+12041,
U+12041,|E₂.KUR.BAD|,|KUR.BAD|,2,𒁁,𒆳𒁁,U+121B3; U+12041,
U+121A4,|E₂.NUN|,|KID.NUN|,1,𒆤,𒆤𒉣,U+121A4; U+12263,
U+12263,|E₂.NUN|,|KID.NUN|,2,𒉣,𒆤𒉣,U+121A4; U+12263,
U+1208D,EDIN,|E₂.PAP.GAŠAN.DIŠ|,1,𒂍,𒂍𒉽𒃽𒁹,U+1208D; U+1227D; U+120FD; U+12079,LAK747 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY118 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL115 [Old Babylonian (~2000–1600 BCE) | School texts]; ELLES365 [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL306 [Gudea period (~2100 BCE) | Lagash / Girsu]; KWU753 [Ur III (~2112–2004 BCE) | Administrative]; MZL300 [Standard Babylonian (any period) | Akkado-Babylonian]; PTACE293 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP435 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA168 [Standard Babylonian (any period) | Akkado-Babylonian]
U+1227D,EDIN,|E₂.PAP.GAŠAN.DIŠ|,2,𒉽,𒂍𒉽𒃽𒁹,U+1208D; U+1227D; U+120FD; U+12079,LAK747 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY118 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL115 [Old Babylonian (~2000–1600 BCE) | School texts]; ELLES365 [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL306 [Gudea period (~2100 BCE) | Lagash / Girsu]; KWU753 [Ur III (~2112–2004 BCE) | Administrative]; MZL300 [Standard Babylonian (any period) | Akkado-Babylonian]; PTACE293 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP435 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA168 [Standard Babylonian (any period) | Akkado-Babylonian]
U+120FD,EDIN,|E₂.PAP.GAŠAN.DIŠ|,3,𒃽,𒂍𒉽𒃽𒁹,U+1208D; U+1227D; U+120FD; U+12079,LAK747 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY118 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL115 [Old Babylonian (~2000–1600 BCE) | School texts]; ELLES365 [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL306 [Gudea period (~2100 BCE) | Lagash / Girsu]; KWU753 [Ur III (~2112–2004 BCE) | Administrative]; MZL300 [Standard Babylonian (any period) | Akkado-Babylonian]; PTACE293 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP435 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA168 [Standard Babylonian (any period) | Akkado-Babylonian]
U+12079,EDIN,|E₂.PAP.GAŠAN.DIŠ|,4,𒁹,𒂍𒉽𒃽𒁹,U+1208D; U+1227D; U+120FD; U+12079,LAK747 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY118 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL115 [Old Babylonian (~2000–1600 BCE) | School texts]; ELLES365 [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL306 [Gudea period (~2100 BCE) | Lagash / Girsu]; KWU753 [Ur III (~2112–2004 BCE) | Administrative]; MZL300 [Standard Babylonian (any period) | Akkado-Babylonian]; PTACE293 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP435 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA168 [Standard Babylonian (any period) | Akkado-Babylonian]
U+120B5,EDIN,|GA.HI×AŠ₂.BUR|,1,𒂵,𒂵𒄯𒁓,U+120B5; U+1212F; U+12053,LAK747 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY118 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL115 [Old Babylonian (~2000–1600 BCE) | School texts]; ELLES365 [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL306 [Gudea period (~2100 BCE) | Lagash / Girsu]; KWU753 [Ur III (~2112–2004 BCE) | Administrative]; MZL300 [Standard Babylonian (any period) | Akkado-Babylonian]; PTACE293 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP435 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA168 [Standard Babylonian (any period) | Akkado-Babylonian]
U+1212F,EDIN,|GA.HI×AŠ₂.BUR|,2,𒄯,𒂵𒄯𒁓,U+120B5; U+1212F; U+12053,LAK747 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY118 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL115 [Old Babylonian (~2000–1600 BCE) | School texts]; ELLES365 [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL306 [Gudea period (~2100 BCE) | Lagash / Girsu]; KWU753 [Ur III (~2112–2004 BCE) | Administrative]; MZL300 [Standard Babylonian (any period) | Akkado-Babylonian]; PTACE293 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP435 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA168 [Standard Babylonian (any period) | Akkado-Babylonian]
U+12053,EDIN,|GA.HI×AŠ₂.BUR|,3,𒁓,𒂵𒄯𒁓,U+120B5; U+1212F; U+12053,LAK747 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY118 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL115 [Old Babylonian (~2000–1600 BCE) | School texts]; ELLES365 [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL306 [Gudea period (~2100 BCE) | Lagash / Girsu]; KWU753 [Ur III (~2112–2004 BCE) | Administrative]; MZL300 [Standard Babylonian (any period) | Akkado-Babylonian]; PTACE293 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP435 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA168 [Standard Babylonian (any period) | Akkado-Babylonian]
U+120B5,EDIN,|GA.HI×AŠ₂.GAŠAN.DIŠ|,1,𒂵,𒂵𒄯𒃽𒁹,U+120B5; U+1212F; U+120FD; U+12079,LAK747 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY118 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL115 [Old Babylonian (~2000–1600 BCE) | School texts]; ELLES365 [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL306 [Gudea period (~2100 BCE) | Lagash / Girsu]; KWU753 [Ur III (~2112–2004 BCE) | Administrative]; MZL300 [Standard Babylonian (any period) | Akkado-Babylonian]; PTACE293 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP435 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA168 [Standard Babylonian (any period) | Akkado-Babylonian]
U+1212F,EDIN,|GA.HI×AŠ₂.GAŠAN.DIŠ|,2,𒄯,𒂵𒄯𒃽𒁹,U+120B5; U+1212F; U+120FD; U+12079,LAK747 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY118 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL115 [Old Babylonian (~2000–1600 BCE) | School texts]; ELLES365 [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL306 [Gudea period (~2100 BCE) | Lagash / Girsu]; KWU753 [Ur III (~2112–2004 BCE) | Administrative]; MZL300 [Standard Babylonian (any period) | Akkado-Babylonian]; PTACE293 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP435 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA168 [Standard Babylonian (any period) | Akkado-Babylonian]
U+120FD,EDIN,|GA.HI×AŠ₂.GAŠAN.DIŠ|,3,𒃽,𒂵𒄯𒃽𒁹,U+120B5; U+1212F; U+120FD; U+12079,LAK747 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY118 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL115 [Old Babylonian (~2000–1600 BCE) | School texts]; ELLES365 [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL306 [Gudea period (~2100 BCE) | Lagash / Girsu]; KWU753 [Ur III (~2112–2004 BCE) | Administrative]; MZL300 [Standard Babylonian (any period) | Akkado-Babylonian]; PTACE293 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP435 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA168 [Standard Babylonian (any period) | Akkado-Babylonian]
U+12079,EDIN,|GA.HI×AŠ₂.GAŠAN.DIŠ|,4,𒁹,𒂵𒄯𒃽𒁹,U+120B5; U+1212F; U+120FD; U+12079,LAK747 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY118 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL115 [Old Babylonian (~2000–1600 BCE) | School texts]; ELLES365 [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL306 [Gudea period (~2100 BCE) | Lagash / Girsu]; KWU753 [Ur III (~2112–2004 BCE) | Administrative]; MZL300 [Standard Babylonian (any period) | Akkado-Babylonian]; PTACE293 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP435 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA168 [Standard Babylonian (any period) | Akkado-Babylonian]
U+120B5,EDIN,|GA.PAP.U@g.DIŠ|,1,𒂵,𒂵𒉽𒐴𒁹,U+120B5; U+1227D; U+12434; U+12079,LAK747 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY118 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL115 [Old Babylonian (~2000–1600 BCE) | School texts]; ELLES365 [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL306 [Gudea period (~2100 BCE) | Lagash / Girsu]; KWU753 [Ur III (~2112–2004 BCE) | Administrative]; MZL300 [Standard Babylonian (any period) | Akkado-Babylonian]; PTACE293 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP435 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA168 [Standard Babylonian (any period) | Akkado-Babylonian]
U+1227D,EDIN,|GA.PAP.U@g.DIŠ|,2,𒉽,𒂵𒉽𒐴𒁹,U+120B5; U+1227D; U+12434; U+12079,LAK747 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY118 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL115 [Old Babylonian (~2000–1600 BCE) | School texts]; ELLES365 [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL306 [Gudea period (~2100 BCE) | Lagash / Girsu]; KWU753 [Ur III (~2112–2004 BCE) | Administrative]; MZL300 [Standard Babylonian (any period) | Akkado-Babylonian]; PTACE293 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP435 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA168 [Standard Babylonian (any period) | Akkado-Babylonian]
U+12434,EDIN,|GA.PAP.U@g.DIŠ|,3,𒐴,𒂵𒉽𒐴𒁹,U+120B5; U+1227D; U+12434; U+12079,LAK747 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY118 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL115 [Old Babylonian (~2000–1600 BCE) | School texts]; ELLES365 [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL306 [Gudea period (~2100 BCE) | Lagash / Girsu]; KWU753 [Ur III (~2112–2004 BCE) | Administrative]; MZL300 [Standard Babylonian (any period) | Akkado-Babylonian]; PTACE293 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP435 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA168 [Standard Babylonian (any period) | Akkado-Babylonian]
U+12079,EDIN,|GA.PAP.U@g.DIŠ|,4,𒁹,𒂵𒉽𒐴𒁹,U+120B5; U+1227D; U+12434; U+12079,LAK747 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY118 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL115 [Old Babylonian (~2000–1600 BCE) | School texts]; ELLES365 [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL306 [Gudea period (~2100 BCE) | Lagash / Girsu]; KWU753 [Ur III (~2112–2004 BCE) | Administrative]; MZL300 [Standard Babylonian (any period) | Akkado-Babylonian]; PTACE293 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP435 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA168 [Standard Babylonian (any period) | Akkado-Babylonian]
U+12308,EGIR,|TUM.ŠU₂|,1,𒌈,𒌈𒋙,U+12308; U+122D9,LAK499 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ABZL076 [Old Babylonian (~2000–1600 BCE) | School texts]; GCSL230 [Gudea period (~2100 BCE) | Lagash / Girsu]; HZL126 [Hittite period (~1650–1180 BCE) | Hittite]; KWU731 [Ur III (~2112–2004 BCE) | Administrative]; MZL356 [Standard Babylonian (any period) | Akkado-Babylonian]; RSP403 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA209 [Standard Babylonian (any period) | Akkado-Babylonian]
U+122D9,EGIR,|TUM.ŠU₂|,2,𒋙,𒌈𒋙,U+12308; U+122D9,LAK499 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ABZL076 [Old Babylonian (~2000–1600 BCE) | School texts]; GCSL230 [Gudea period (~2100 BCE) | Lagash / Girsu]; HZL126 [Hittite period (~1650–1180 BCE) | Hittite]; KWU731 [Ur III (~2112–2004 BCE) | Administrative]; MZL356 [Standard Babylonian (any period) | Akkado-Babylonian]; RSP403 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA209 [Standard Babylonian (any period) | Akkado-Babylonian]
U+12308,EGIR,|TUM.UD|,1,𒌈,𒌈𒌓,U+12308; U+12313,LAK499 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ABZL076 [Old Babylonian (~2000–1600 BCE) | School texts]; GCSL230 [Gudea period (~2100 BCE) | Lagash / Girsu]; HZL126 [Hittite period (~1650–1180 BCE) | Hittite]; KWU731 [Ur III (~2112–2004 BCE) | Administrative]; MZL356 [Standard Babylonian (any period) | Akkado-Babylonian]; RSP403 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA209 [Standard Babylonian (any period) | Akkado-Babylonian]
U+12313,EGIR,|TUM.UD|,2,𒌓,𒌈𒌓,U+12308; U+12313,LAK499 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ABZL076 [Old Babylonian (~2000–1600 BCE) | School texts]; GCSL230 [Gudea period (~2100 BCE) | Lagash / Girsu]; HZL126 [Hittite period (~1650–1180 BCE) | Hittite]; KWU731 [Ur III (~2112–2004 BCE) | Administrative]; MZL356 [Standard Babylonian (any period) | Akkado-Babylonian]; RSP403 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA209 [Standard Babylonian (any period) | Akkado-Babylonian]
U+12097,|EN.KID|,|EN.E₂|,1,𒂗,𒂗𒂍,U+12097; U+1208D,
U+1208D,|EN.KID|,|EN.E₂|,2,𒂍,𒂗𒂍,U+12097; U+1208D,
U+12097,|EN.ME.AN.MUŠ₃|,|EN.ME.AN×MUŠ₃|,1,𒂗,𒂗𒈨X,U+12097; U+12228; X,
U+12228,|EN.ME.AN.MUŠ₃|,|EN.ME.AN×MUŠ₃|,2,𒈨,𒂗𒈨X,U+12097; U+12228; X,
X,|EN.ME.AN.MUŠ₃|,|EN.ME.AN×MUŠ₃|,3,,𒂗𒈨X,U+12097; U+12228; X,
U+12097,|EN.ME.GI|,|EN.ME.GI₄|,1,𒂗,𒂗𒈨𒄄,U+12097; U+12228; U+12104,
U+12228,|EN.ME.GI|,|EN.ME.GI₄|,2,𒈨,𒂗𒈨𒄄,U+12097; U+12228; U+12104,
U+12104,|EN.ME.GI|,|EN.ME.GI₄|,3,𒄄,𒂗𒈨𒄄,U+12097; U+12228; U+12104,
U+1209A,|EN.ME.GI|,|EN×ME.GI|,1,𒂚,𒂚𒄀,U+1209A; U+12100,
U+12100,|EN.ME.GI|,|EN×ME.GI|,2,𒄀,𒂚𒄀,U+1209A; U+12100,
U+1209A,|EN.ME.GI|,|EN×ME.GI₄|,1,𒂚,𒂚𒄄,U+1209A; U+12104,
U+12104,|EN.ME.GI|,|EN×ME.GI₄|,2,𒄄,𒂚𒄄,U+1209A; U+12104,
U+12228,|EN.ME.GI|,|ME.EN.GI|,1,𒈨,𒈨𒂗𒄀,U+12228; U+12097; U+12100,
U+12097,|EN.ME.GI|,|ME.EN.GI|,2,𒂗,𒈨𒂗𒄀,U+12228; U+12097; U+12100,
U+12100,|EN.ME.GI|,|ME.EN.GI|,3,𒄀,𒈨𒂗𒄀,U+12228; U+12097; U+12100,
U+1209A,|EN.ME.LI|,|EN×ME.LI|,1,𒂚,𒂚𒇷,U+1209A; U+121F7,LAK534 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; GCSL249 [Gudea period (~2100 BCE) | Lagash / Girsu]
U+121F7,|EN.ME.LI|,|EN×ME.LI|,2,𒇷,𒂚𒇷,U+1209A; U+121F7,LAK534 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; GCSL249 [Gudea period (~2100 BCE) | Lagash / Girsu]
U+1209A,|EN.ME.MU|,|EN×ME.MU|,1,𒂚,𒂚𒈬,U+1209A; U+1222C,
U+1222C,|EN.ME.MU|,|EN×ME.MU|,2,𒈬,𒂚𒈬,U+1209A; U+1222C,
U+12228,|EN.ME.MU|,|ME.EN.MU|,1,𒈨,𒈨𒂗𒈬,U+12228; U+12097; U+1222C,
U+12097,|EN.ME.MU|,|ME.EN.MU|,2,𒂗,𒈨𒂗𒈬,U+12228; U+12097; U+1222C,
U+1222C,|EN.ME.MU|,|ME.EN.MU|,3,𒈬,𒈨𒂗𒈬,U+12228; U+12097; U+1222C,
U+12228,|EN.ME.MU|,|ME.MU|,1,𒈨,𒈨𒈬,U+12228; U+1222C,
U+1222C,|EN.ME.MU|,|ME.MU|,2,𒈬,𒈨𒈬,U+12228; U+1222C,
