unicode_id,allograph_sign,allograph_form,allograph_ucun,signList_analogue
U+12324,DE₂,UMUM,𒌤,LAK155 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; BAU093 [Early Dynastic (~2900–2340 BCE) | Lagash]; BAU094 [Early Dynastic (~2900–2340 BCE) | Lagash]; ELLES085 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP361 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; LAK156^a [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY190 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL215 [Old Babylonian (~2000–1600 BCE) | School texts]; KWU309b [Ur III (~2112–2004 BCE) | Administrative]; PTACE099 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP361bis [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SYA165 [Standard Babylonian (any period) | Akkadian syllabary]; ELLES179 [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL071 [Gudea period (~2100 BCE) | Lagash / Girsu]; KWU309 [Ur III (~2112–2004 BCE) | Administrative]; SLLHA338n1 [Standard Babylonian (any period) | Akkado-Babylonian]
U+12074,DIM,LAK061,𒁴,LAK061 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK053 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY068 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL014 [Old Babylonian (~2000–1600 BCE) | School texts]; ELLES031 [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL018 [Gudea period (~2100 BCE) | Lagash / Girsu]; HZL014 [Hittite period (~1650–1180 BCE) | Hittite]; KWU085 [Ur III (~2112–2004 BCE) | Administrative]; MZL167 [Standard Babylonian (any period) | Akkado-Babylonian]; PTACE062 [Early Dynastic (~2900–2340 BCE) | Ebla]; SLLHA094 [Standard Babylonian (any period) | Akkado-Babylonian]; SYA059 [Standard Babylonian (any period) | Akkadian syllabary]
U+12075,|DIM×ŠE|,DIM@g,𒁵,LAK056 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ELLES033b [Early Dynastic (~2900–2340 BCE) | Ebla]; ELLES307b [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL019 [Gudea period (~2100 BCE) | Lagash / Girsu]; PTACE063 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP426 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; LAK055 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY069 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL015 [Old Babylonian (~2000–1600 BCE) | School texts]; BAU410 [Early Dynastic (~2900–2340 BCE) | Lagash]; ELLES033a [Early Dynastic (~2900–2340 BCE) | Ebla]; HZL018 [Hittite period (~1650–1180 BCE) | Hittite]; KWU086 [Ur III (~2112–2004 BCE) | Administrative]; MZL168 [Standard Babylonian (any period) | Akkado-Babylonian]; RSP426bis [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SYA060 [Standard Babylonian (any period) | Akkadian syllabary]
U+12079,DIŠ,AŠ@t,𒁹,LAK178 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK820^c [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY209 [Standard Babylonian (any period) | Akkadian syllabary]; LAK820^d [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK834^a [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK854^b [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY276 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL390 [Old Babylonian (~2000–1600 BCE) | School texts]; HZL356 [Hittite period (~1650–1180 BCE) | Hittite]; MZL748 [Standard Babylonian (any period) | Akkado-Babylonian]; RSP005 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA480 [Standard Babylonian (any period) | Akkado-Babylonian]; SYA242 [Standard Babylonian (any period) | Akkadian syllabary]
U+12079,DIŠ,DIŠ@f,𒁹,LAK820^d [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK834^a [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK854^b [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY276 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL390 [Old Babylonian (~2000–1600 BCE) | School texts]; HZL356 [Hittite period (~1650–1180 BCE) | Hittite]; MZL748 [Standard Babylonian (any period) | Akkado-Babylonian]; RSP005 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA480 [Standard Babylonian (any period) | Akkado-Babylonian]; SYA242 [Standard Babylonian (any period) | Akkadian syllabary]
U+12079,DIŠ,GAM,𒁹,LAK180 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY210 [Standard Babylonian (any period) | Akkadian syllabary]; GCSL091 [Gudea period (~2100 BCE) | Lagash / Girsu]; LAK820^d [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK834^a [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK854^b [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY276 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL390 [Old Babylonian (~2000–1600 BCE) | School texts]; HZL356 [Hittite period (~1650–1180 BCE) | Hittite]; MZL748 [Standard Babylonian (any period) | Akkado-Babylonian]; RSP005 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA480 [Standard Babylonian (any period) | Akkado-Babylonian]; SYA242 [Standard Babylonian (any period) | Akkadian syllabary]
U+12079,DIŠ,MIN,𒁹,LAK417 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY308a [Standard Babylonian (any period) | Akkadian syllabary]; LAK820^d [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK834^a [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK854^b [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY276 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL390 [Old Babylonian (~2000–1600 BCE) | School texts]; HZL356 [Hittite period (~1650–1180 BCE) | Hittite]; MZL748 [Standard Babylonian (any period) | Akkado-Babylonian]; RSP005 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA480 [Standard Babylonian (any period) | Akkado-Babylonian]; SYA242 [Standard Babylonian (any period) | Akkadian syllabary]
U+12079,DIŠ,PAP,𒁹,LAK229 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY032 [Standard Babylonian (any period) | Akkadian syllabary]; GCSL113 [Gudea period (~2100 BCE) | Lagash / Girsu]; LAK820^d [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK834^a [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK854^b [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY276 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL390 [Old Babylonian (~2000–1600 BCE) | School texts]; HZL356 [Hittite period (~1650–1180 BCE) | Hittite]; MZL748 [Standard Babylonian (any period) | Akkado-Babylonian]; RSP005 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA480 [Standard Babylonian (any period) | Akkado-Babylonian]; SYA242 [Standard Babylonian (any period) | Akkadian syllabary]
U+12079,DIŠ,U,𒁹,LAK821^b [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK840^b [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK857^b [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK859^b [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY242 [Standard Babylonian (any period) | Akkadian syllabary]; GCSL176 [Gudea period (~2100 BCE) | Lagash / Girsu]; LAK820^d [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK834^a [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK854^b [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY276 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL390 [Old Babylonian (~2000–1600 BCE) | School texts]; HZL356 [Hittite period (~1650–1180 BCE) | Hittite]; MZL748 [Standard Babylonian (any period) | Akkado-Babylonian]; RSP005 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA480 [Standard Babylonian (any period) | Akkado-Babylonian]; SYA242 [Standard Babylonian (any period) | Akkadian syllabary]
U+12079,DIŠ,U@c,𒁹,LAK807^a [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK821^a [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK840^a [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK857^a [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK859^a [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK820^d [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK834^a [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK854^b [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY276 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL390 [Old Babylonian (~2000–1600 BCE) | School texts]; HZL356 [Hittite period (~1650–1180 BCE) | Hittite]; MZL748 [Standard Babylonian (any period) | Akkado-Babylonian]; RSP005 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA480 [Standard Babylonian (any period) | Akkado-Babylonian]; SYA242 [Standard Babylonian (any period) | Akkadian syllabary]
U+12079,DIŠ,|U.U|,𒁹,ASY274 [Standard Babylonian (any period) | Akkadian syllabary]; LAK820^d [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK834^a [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK854^b [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY276 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL390 [Old Babylonian (~2000–1600 BCE) | School texts]; HZL356 [Hittite period (~1650–1180 BCE) | Hittite]; MZL748 [Standard Babylonian (any period) | Akkado-Babylonian]; RSP005 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA480 [Standard Babylonian (any period) | Akkado-Babylonian]; SYA242 [Standard Babylonian (any period) | Akkadian syllabary]
U+12079,DIŠ,P₂,𒁹,LAK820^d [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK834^a [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK854^b [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY276 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL390 [Old Babylonian (~2000–1600 BCE) | School texts]; HZL356 [Hittite period (~1650–1180 BCE) | Hittite]; MZL748 [Standard Babylonian (any period) | Akkado-Babylonian]; RSP005 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA480 [Standard Babylonian (any period) | Akkado-Babylonian]; SYA242 [Standard Babylonian (any period) | Akkadian syllabary]
U+12079,DIŠ,4(DIŠ),𒁹,LAK837^b [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK820^d [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK834^a [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK854^b [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY276 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL390 [Old Babylonian (~2000–1600 BCE) | School texts]; HZL356 [Hittite period (~1650–1180 BCE) | Hittite]; MZL748 [Standard Babylonian (any period) | Akkado-Babylonian]; RSP005 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA480 [Standard Babylonian (any period) | Akkado-Babylonian]; SYA242 [Standard Babylonian (any period) | Akkadian syllabary]
U+12079,DIŠ,5(DIŠ),𒁹,ASY324 [Standard Babylonian (any period) | Akkadian syllabary]; LAK820^d [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK834^a [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK854^b [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY276 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL390 [Old Babylonian (~2000–1600 BCE) | School texts]; HZL356 [Hittite period (~1650–1180 BCE) | Hittite]; MZL748 [Standard Babylonian (any period) | Akkado-Babylonian]; RSP005 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA480 [Standard Babylonian (any period) | Akkado-Babylonian]; SYA242 [Standard Babylonian (any period) | Akkadian syllabary]
,|DIŠ.DIŠ.DIŠ|,3(DIŠ)~a,𒁹𒁹𒁹,
U+1207B,|DU&DU|,|DU%DU|,𒁻,ASY136 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL197 [Old Babylonian (~2000–1600 BCE) | School texts]; KWU706 [Ur III (~2112–2004 BCE) | Administrative]; RSP370^a [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA206a [Standard Babylonian (any period) | Akkado-Babylonian]
U+1207C,DU@g,DU,𒁼,LAK484 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY135 [Standard Babylonian (any period) | Akkadian syllabary]; BAU374 [Early Dynastic (~2900–2340 BCE) | Lagash]; ELLES252 [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL224 [Gudea period (~2100 BCE) | Lagash / Girsu]; PTACE236 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP369 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; LAK486 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY132 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL065 [Old Babylonian (~2000–1600 BCE) | School texts]; KWU708 [Ur III (~2112–2004 BCE) | Administrative]; MZL351 [Standard Babylonian (any period) | Akkado-Babylonian]; PTACE238 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP372 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA201 [Standard Babylonian (any period) | Akkado-Babylonian]; SYA115 [Standard Babylonian (any period) | Akkadian syllabary]
U+1207C,DU@g,DU@s@g,𒁼,RSP373 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; LAK486 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY132 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL065 [Old Babylonian (~2000–1600 BCE) | School texts]; KWU708 [Ur III (~2112–2004 BCE) | Administrative]; MZL351 [Standard Babylonian (any period) | Akkado-Babylonian]; PTACE238 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP372 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA201 [Standard Babylonian (any period) | Akkado-Babylonian]; SYA115 [Standard Babylonian (any period) | Akkadian syllabary]
U+1207D,DU@s,DU,𒁽,LAK484 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY135 [Standard Babylonian (any period) | Akkadian syllabary]; BAU374 [Early Dynastic (~2900–2340 BCE) | Lagash]; ELLES252 [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL224 [Gudea period (~2100 BCE) | Lagash / Girsu]; PTACE236 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP369 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; ASY133 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL066 [Old Babylonian (~2000–1600 BCE) | School texts]; BAU376 [Early Dynastic (~2900–2340 BCE) | Lagash]; GCSL225 [Gudea period (~2100 BCE) | Lagash / Girsu]; HZL129 [Hittite period (~1650–1180 BCE) | Hittite]; KWU707 [Ur III (~2112–2004 BCE) | Administrative]; MZL352 [Standard Babylonian (any period) | Akkado-Babylonian]; RSP371 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA202 [Standard Babylonian (any period) | Akkado-Babylonian]; SYA116 [Standard Babylonian (any period) | Akkadian syllabary]
U+1207D,DU@s,|DU×KASKAL|,𒁽,LAK485 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ELLES253 [Early Dynastic (~2900–2340 BCE) | Ebla]; PTACE237 [Early Dynastic (~2900–2340 BCE) | Ebla]; ASY133 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL066 [Old Babylonian (~2000–1600 BCE) | School texts]; BAU376 [Early Dynastic (~2900–2340 BCE) | Lagash]; GCSL225 [Gudea period (~2100 BCE) | Lagash / Girsu]; HZL129 [Hittite period (~1650–1180 BCE) | Hittite]; KWU707 [Ur III (~2112–2004 BCE) | Administrative]; MZL352 [Standard Babylonian (any period) | Akkado-Babylonian]; RSP371 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA202 [Standard Babylonian (any period) | Akkado-Babylonian]; SYA116 [Standard Babylonian (any period) | Akkadian syllabary]
,|DU@s.DU@s|,|DU@s&DU@s|,𒁽𒁽,
U+12085,DUN₃,DUN₃@g,𒂅,LAK667 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; BAU339 [Early Dynastic (~2900–2340 BCE) | Lagash]; ELLES325 [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL314 [Gudea period (~2100 BCE) | Lagash / Girsu]; PTACE269 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP305 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; LAK666 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY322 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL401a [Old Babylonian (~2000–1600 BCE) | School texts]; BAU280 [Early Dynastic (~2900–2340 BCE) | Lagash]; BAU340 [Early Dynastic (~2900–2340 BCE) | Lagash]; GCSL400 [Gudea period (~2100 BCE) | Lagash / Girsu]; HZL223 [Hittite period (~1650–1180 BCE) | Hittite]; KWU858 [Ur III (~2112–2004 BCE) | Administrative]; MZL836 [Standard Babylonian (any period) | Akkado-Babylonian]; RSP306 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA595 [Standard Babylonian (any period) | Akkado-Babylonian]; SYA282 [Standard Babylonian (any period) | Akkadian syllabary]
U+12085,DUN₃,LAK786,𒂅,LAK786 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ELLES385 [Early Dynastic (~2900–2340 BCE) | Ebla]; LAK666 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY322 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL401a [Old Babylonian (~2000–1600 BCE) | School texts]; BAU280 [Early Dynastic (~2900–2340 BCE) | Lagash]; BAU340 [Early Dynastic (~2900–2340 BCE) | Lagash]; GCSL400 [Gudea period (~2100 BCE) | Lagash / Girsu]; HZL223 [Hittite period (~1650–1180 BCE) | Hittite]; KWU858 [Ur III (~2112–2004 BCE) | Administrative]; MZL836 [Standard Babylonian (any period) | Akkado-Babylonian]; RSP306 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA595 [Standard Babylonian (any period) | Akkado-Babylonian]; SYA282 [Standard Babylonian (any period) | Akkadian syllabary]
U+12087,DUN₃@g@g,AGA~a,𒂇,ABZL219a [Old Babylonian (~2000–1600 BCE) | School texts]; LAK154 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY198 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL219b [Old Babylonian (~2000–1600 BCE) | School texts]; ELLES084 [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL072 [Gudea period (~2100 BCE) | Lagash / Girsu]; HZL096 [Hittite period (~1650–1180 BCE) | Hittite]; KWU311 [Ur III (~2112–2004 BCE) | Administrative]; MZL556 [Standard Babylonian (any period) | Akkado-Babylonian]; RSP275 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA347 [Standard Babylonian (any period) | Akkado-Babylonian]; SYA173 [Standard Babylonian (any period) | Akkadian syllabary]
U+12088,DUN₄,|DUN₃@g×(MU.KAK)|,𒂈,ABZL220 [Old Babylonian (~2000–1600 BCE) | School texts]; BAU156 [Early Dynastic (~2900–2340 BCE) | Lagash]; GCSL312 [Gudea period (~2100 BCE) | Lagash / Girsu]; HZL088 [Hittite period (~1650–1180 BCE) | Hittite]; KWU185 [Ur III (~2112–2004 BCE) | Administrative]; MZL557 [Standard Babylonian (any period) | Akkado-Babylonian]; SLLHA348 [Standard Babylonian (any period) | Akkado-Babylonian]
U+12089,DUR₂,|LAGAB×AŠ@c|,𒂉,LAK772 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; BAU268 [Early Dynastic (~2900–2340 BCE) | Lagash]; LAK791^a [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ABZL415 [Old Babylonian (~2000–1600 BCE) | School texts]; ELLES388 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP253 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SYA254 [Standard Babylonian (any period) | Akkadian syllabary]
,|DUR₂.DUR₂|,|DUR₂&DUR₂|,𒂉𒂉,
U+12095,EGIR,KWU732,𒂕,LAK499 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ABZL076 [Old Babylonian (~2000–1600 BCE) | School texts]; GCSL230 [Gudea period (~2100 BCE) | Lagash / Girsu]; HZL126 [Hittite period (~1650–1180 BCE) | Hittite]; KWU731 [Ur III (~2112–2004 BCE) | Administrative]; MZL356 [Standard Babylonian (any period) | Akkado-Babylonian]; RSP403 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA209 [Standard Babylonian (any period) | Akkado-Babylonian]
U+12097,EN,LAK530,𒂗,LAK530 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ELLES283 [Early Dynastic (~2900–2340 BCE) | Ebla]; PTACE256 [Early Dynastic (~2900–2340 BCE) | Ebla]; LAK532 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY071 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL062 [Old Babylonian (~2000–1600 BCE) | School texts]; BAU296 [Early Dynastic (~2900–2340 BCE) | Lagash]; GCSL248 [Gudea period (~2100 BCE) | Lagash / Girsu]; HZL040 [Hittite period (~1650–1180 BCE) | Hittite]; KWU075 [Ur III (~2112–2004 BCE) | Administrative]; MZL164 [Standard Babylonian (any period) | Akkado-Babylonian]; RSP271 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA099 [Standard Babylonian (any period) | Akkado-Babylonian]; SYA062 [Standard Babylonian (any period) | Akkadian syllabary]
U+120A0,EŠ₂,EŠ₂@90,𒂠,LAK794 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY291 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL420 [Old Babylonian (~2000–1600 BCE) | School texts]; BAU386a [Early Dynastic (~2900–2340 BCE) | Lagash]; ELLES392 [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL323 [Gudea period (~2100 BCE) | Lagash / Girsu]; PTACE325 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP256 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SYA256 [Standard Babylonian (any period) | Akkadian syllabary]
U+120A1,EZEN,KEŠ₂,𒂡,LAK612 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; BAU307 [Early Dynastic (~2900–2340 BCE) | Lagash]; ELLES300 [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL264 [Gudea period (~2100 BCE) | Lagash / Girsu]; PTACE265 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP285 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; LAK611 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY113 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL152a [Old Babylonian (~2000–1600 BCE) | School texts]; BAU298 [Early Dynastic (~2900–2340 BCE) | Lagash]; ELLES303 [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL261 [Gudea period (~2100 BCE) | Lagash / Girsu]; KWU835 [Ur III (~2112–2004 BCE) | Administrative]; MZL272 [Standard Babylonian (any period) | Akkado-Babylonian]; PTACE262 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP284 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA152_8b [Standard Babylonian (any period) | Akkado-Babylonian]; SYA099 [Standard Babylonian (any period) | Akkadian syllabary]
U+120A1,EZEN,ŠIR₃~a,𒂡,ABZL152b [Old Babylonian (~2000–1600 BCE) | School texts]; LAK611 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY113 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL152a [Old Babylonian (~2000–1600 BCE) | School texts]; BAU298 [Early Dynastic (~2900–2340 BCE) | Lagash]; ELLES303 [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL261 [Gudea period (~2100 BCE) | Lagash / Girsu]; KWU835 [Ur III (~2112–2004 BCE) | Administrative]; MZL272 [Standard Babylonian (any period) | Akkado-Babylonian]; PTACE262 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP284 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA152_8b [Standard Babylonian (any period) | Akkado-Babylonian]; SYA099 [Standard Babylonian (any period) | Akkadian syllabary]
U+120A6,|EZEN×BAD|,|EZEN×AŠ|,𒂦,ASY114 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL153 [Old Babylonian (~2000–1600 BCE) | School texts]; GCSL262 [Gudea period (~2100 BCE) | Lagash / Girsu]; HZL114 [Hittite period (~1650–1180 BCE) | Hittite]; KWU837 [Ur III (~2112–2004 BCE) | Administrative]; MZL275 [Standard Babylonian (any period) | Akkado-Babylonian]; PTACE263 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP286 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA152_8 [Standard Babylonian (any period) | Akkado-Babylonian]
U+120A7,|EZEN×DUN₃@g|,|EZEN×GAN₂@t|,𒂧,
U+120AF,|EZEN×LA|,EZEN,𒂯,LAK611 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY113 [Standard Babylonian (any period) | Akkadian syllabary]; BAU298 [Early Dynastic (~2900–2340 BCE) | Lagash]; ELLES303 [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL261 [Gudea period (~2100 BCE) | Lagash / Girsu]; PTACE262 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP284 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; LAK615 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ABZL154 [Old Babylonian (~2000–1600 BCE) | School texts]; KWU839 [Ur III (~2112–2004 BCE) | Administrative]; MZL274 [Standard Babylonian (any period) | Akkado-Babylonian]; RSP288 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA152_9 [Standard Babylonian (any period) | Akkado-Babylonian]
