unicode_id,allograph_ucun,component_position,allograph_sign,allograph_form,allograph_type,compound_form,allographCompound_cun,allographCompound_useq,unicodeTrLit,syllabarySign,PhoneticsVersion,signList_analogue
U+12000,𒀀,3,|A.TU.GABA.LIŠ|,|A.TU.A.TU.GABA.LIŠ|,Type_2,|A.TU.A.TU.GABA.LIŠ|,𒀀𒌅𒀀𒌅𒃮𒇺,U+12000; U+12305; U+12000; U+12305; U+120EE; U+121FA,a,A,'U4 | 'u4 | A | AIA2 | AYA2 | BARX(A) | BUNIĜX(A) | BURX(A) | DUR5 | DURU5 | E4 | EA | EBIR3 | EMX(A) | EPIR3 | EŠ10 | IA10 | ID5 | ME5 | MU14 | SEDX(A) | YA10 | a | aia2 | aya2 | barx(A) | buniĝx(A) | burx(A) | dur5 | duru5 | e4 | ea | ebir3 | emx(A) | epir3 | eš10 | ia10 | id5 | me5 | mu14 | sedx(A) | ya10 | ĜA10 | ĝa10 | ŠEGX(A) | šegx(A) | ŢUR5 | ţur5,ELLES123 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP055 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]
U+12305,𒌅,4,|A.TU.GABA.LIŠ|,|A.TU.A.TU.GABA.LIŠ|,Type_2,|A.TU.A.TU.GABA.LIŠ|,𒀀𒌅𒀀𒌅𒃮𒇺,U+12000; U+12305; U+12000; U+12305; U+120EE; U+121FA,tu,TU,DU2 | DUD2 | DUR11 | HU2 | HUDUŠ | NAMŠEŠE | TU | TUD | TUM12 | TUR5 | du2 | dud2 | dur11 | hu2 | huduš | namšeše | tu | tud | tum12 | tur5 | ŢU2 | ţu2,ELLES123 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP055 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]
U+120EE,𒃮,5,|A.TU.GABA.LIŠ|,|A.TU.A.TU.GABA.LIŠ|,Type_2,|A.TU.A.TU.GABA.LIŠ|,𒀀𒌅𒀀𒌅𒃮𒇺,U+12000; U+12305; U+12000; U+12305; U+120EE; U+121FA,gaba,GABA,DU8 | DUDDA | DUH | GA15 | GAB | GABA | GAP | IRTU | PITRU | QAB | QAP | TAH2 | TU24 | TUH | TUHU | du8 | dudda | duh | ga15 | gab | gaba | gap | irtu | pitru | qab | qap | tah2 | tu24 | tuh | tuhu | ŢAH2 | ŢU5 | ŢUH | ţah2 | ţu5 | ţuh,ELLES123 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP055 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]
U+121FA,𒇺,6,|A.TU.GABA.LIŠ|,|A.TU.A.TU.GABA.LIŠ|,Type_2,|A.TU.A.TU.GABA.LIŠ|,𒀀𒌅𒀀𒌅𒃮𒇺,U+12000; U+12305; U+12000; U+12305; U+120EE; U+121FA,,,,ELLES123 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP055 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]
U+12000,𒀀,1,|A.TU.GABA.LIŠ|,|A.TU.GABA|,Type_2,|A.TU.GABA|,𒀀𒌅𒃮,U+12000; U+12305; U+120EE,a,A,'U4 | 'u4 | A | AIA2 | AYA2 | BARX(A) | BUNIĜX(A) | BURX(A) | DUR5 | DURU5 | E4 | EA | EBIR3 | EMX(A) | EPIR3 | EŠ10 | IA10 | ID5 | ME5 | MU14 | SEDX(A) | YA10 | a | aia2 | aya2 | barx(A) | buniĝx(A) | burx(A) | dur5 | duru5 | e4 | ea | ebir3 | emx(A) | epir3 | eš10 | ia10 | id5 | me5 | mu14 | sedx(A) | ya10 | ĜA10 | ĝa10 | ŠEGX(A) | šegx(A) | ŢUR5 | ţur5,ELLES123 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP055 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]
U+12305,𒌅,2,|A.TU.GABA.LIŠ|,|A.TU.GABA|,Type_2,|A.TU.GABA|,𒀀𒌅𒃮,U+12000; U+12305; U+120EE,tu,TU,DU2 | DUD2 | DUR11 | HU2 | HUDUŠ | NAMŠEŠE | TU | TUD | TUM12 | TUR5 | du2 | dud2 | dur11 | hu2 | huduš | namšeše | tu | tud | tum12 | tur5 | ŢU2 | ţu2,ELLES123 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP055 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]
U+120EE,𒃮,3,|A.TU.GABA.LIŠ|,|A.TU.GABA|,Type_2,|A.TU.GABA|,𒀀𒌅𒃮,U+12000; U+12305; U+120EE,gaba,GABA,DU8 | DUDDA | DUH | GA15 | GAB | GABA | GAP | IRTU | PITRU | QAB | QAP | TAH2 | TU24 | TUH | TUHU | du8 | dudda | duh | ga15 | gab | gaba | gap | irtu | pitru | qab | qap | tah2 | tu24 | tuh | tuhu | ŢAH2 | ŢU5 | ŢUH | ţah2 | ţu5 | ţuh,ELLES123 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP055 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]
U+12000,𒀀,1,|A.TU.GABA.LIŠ|,|A.TU.GABA.LIŠ.GAR|,Type_2,|A.TU.GABA.LIŠ.GAR|,𒀀𒌅𒃮𒇺𒃻,U+12000; U+12305; U+120EE; U+121FA; U+120FB,a,A,'U4 | 'u4 | A | AIA2 | AYA2 | BARX(A) | BUNIĜX(A) | BURX(A) | DUR5 | DURU5 | E4 | EA | EBIR3 | EMX(A) | EPIR3 | EŠ10 | IA10 | ID5 | ME5 | MU14 | SEDX(A) | YA10 | a | aia2 | aya2 | barx(A) | buniĝx(A) | burx(A) | dur5 | duru5 | e4 | ea | ebir3 | emx(A) | epir3 | eš10 | ia10 | id5 | me5 | mu14 | sedx(A) | ya10 | ĜA10 | ĝa10 | ŠEGX(A) | šegx(A) | ŢUR5 | ţur5,ELLES123 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP055 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]
U+12305,𒌅,2,|A.TU.GABA.LIŠ|,|A.TU.GABA.LIŠ.GAR|,Type_2,|A.TU.GABA.LIŠ.GAR|,𒀀𒌅𒃮𒇺𒃻,U+12000; U+12305; U+120EE; U+121FA; U+120FB,tu,TU,DU2 | DUD2 | DUR11 | HU2 | HUDUŠ | NAMŠEŠE | TU | TUD | TUM12 | TUR5 | du2 | dud2 | dur11 | hu2 | huduš | namšeše | tu | tud | tum12 | tur5 | ŢU2 | ţu2,ELLES123 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP055 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]
U+120EE,𒃮,3,|A.TU.GABA.LIŠ|,|A.TU.GABA.LIŠ.GAR|,Type_2,|A.TU.GABA.LIŠ.GAR|,𒀀𒌅𒃮𒇺𒃻,U+12000; U+12305; U+120EE; U+121FA; U+120FB,gaba,GABA,DU8 | DUDDA | DUH | GA15 | GAB | GABA | GAP | IRTU | PITRU | QAB | QAP | TAH2 | TU24 | TUH | TUHU | du8 | dudda | duh | ga15 | gab | gaba | gap | irtu | pitru | qab | qap | tah2 | tu24 | tuh | tuhu | ŢAH2 | ŢU5 | ŢUH | ţah2 | ţu5 | ţuh,ELLES123 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP055 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]
U+121FA,𒇺,4,|A.TU.GABA.LIŠ|,|A.TU.GABA.LIŠ.GAR|,Type_2,|A.TU.GABA.LIŠ.GAR|,𒀀𒌅𒃮𒇺𒃻,U+12000; U+12305; U+120EE; U+121FA; U+120FB,,,,ELLES123 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP055 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]
