unicode_id,sign_grapheme,transliteration,translit_normalized
U+12303,𒌃,tir / tir,TIR/TIR
U+12304,𒌄,tir / tir gad / gad gar / gar,TIR/TIRGAD/GADGAR/GAR
U+1230A,𒌊,tur / tur za / za,TUR/TURZA/ZA
U+1230C,𒌌,u gud,UGUD
U+1230D,𒌍,u u u,UUU
U+1230E,𒌎,u / u pa / pa gar / gar,U/UPA/PAGAR/GAR
U+1230F,𒌏,u / u sur / sur,U/USUR/SUR
U+12310,𒌐,u / u u reversed / u reversed,U/UUREVERSED/UREVERSED
U+12314,𒌔,ud kushu₂,UDKUŠU2
U+1231A,𒌚,ud sheshig,UDŠEŠIG
U+1231B,𒌛,ud sheshig × bad,UDŠEŠIGXBAD
U+12329,𒌩,ur crossing ur,URCROSSINGUR
U+1232A,𒌪,ur sheshig,URŠEŠIG
U+12344,𒍄,uru × ish,URUXISH
U+1235F,𒍟,za squared × kur,ZAXKUR
U+12364,𒍤,zi / zi,ZI/ZI
U+12367,𒍧,zib kaba tenu,ZIBKABA@T
U+1236F,𒍯,kap elamite,KAPELAMITE
U+12370,𒍰,ab × nun,ABXNUN
U+12371,𒍱,ab₂ × a,AB2XA
U+12372,𒍲,amar × kug,AMARXKUG
U+12373,𒍳,dag kisim₅ × u₂ + mash,DAG.KISIM5XU2+MAŠ
U+12375,𒍵,dish + shu,DISH+ŠU
U+12376,𒍶,dub × she,DUBXŠE
U+12377,𒍷,ezen × gud,EZENXGUD
U+12379,𒍹,ga₂ × an + kak + a,GA2XAN+KAK+A
U+1237A,𒍺,ga₂ × ash₂,GA2XAŠ2
U+1237E,𒍾,ka × anshe,KAXANŠE
U+1237F,𒍿,ka × ash₃,KAXAŠ3
U+12381,𒎁,ka × gud,KAXGUD
U+12385,𒎅,ka × shul,KAXŠUL
U+12386,𒎆,ka × tu,KAXTU
U+12388,𒎈,lagab × gi,LAGABXGI
U+12389,𒎉,lu₂ sheshig × bad,LU2ŠEŠIGXBAD
U+1238A,𒎊,lu₂ × esh₂ + lal,LU2XEŠ2+LAL
U+1238D,𒎍,mush₃ × za,MUŠ3XZA
U+12391,𒎑,ninda₂ × bal,NINDA2XBAL
U+12392,𒎒,ninda₂ × gi,NINDA2XGI
U+12393,𒎓,nu₁₁ rot. ninety degrees,NU11ROT.NINETYDEGREES
U+12394,𒎔,pesh₂ *,PEŠ2*
U+12396,𒎖,sag × igi gunu,SAGXIGI@G
U+12398,𒎘,um × me,UMXME
U+12399,𒎙,u u,UU
U+12400,𒐀,two ash,TWOAŠ
U+12401,𒐁,three ash,3XAŠ
U+12402,𒐂,four ash,FOURAŠ
U+12403,𒐃,five ash,FIVEAŠ
U+12404,𒐄,six ash,SIXAŠ
U+12405,𒐅,seven ash,SEVENAŠ
U+12406,𒐆,eight ash,EIGHTAŠ
U+12407,𒐇,nine ash,NINEAŠ
U+12408,𒐈,three dish,3XDISH
U+12409,𒐉,four dish,FOURDISH
U+1240A,𒐊,five dish,FIVEDISH
U+1240B,𒐋,six dish,SIXDISH
U+1240C,𒐌,seven dish,SEVENDISH
U+1240D,𒐍,eight dish,EIGHTDISH
U+1240E,𒐎,nine dish,NINEDISH
U+1240F,𒐏,four u,FOURU
U+12410,𒐐,five u,FIVEU
U+12411,𒐑,six u,SIXU
U+12412,𒐒,seven u,SEVENU
U+12413,𒐓,eight u,EIGHTU
U+12414,𒐔,nine u,NINEU
U+12415,𒐕,one gesh₂,ONEGEŠ2
U+12416,𒐖,two gesh₂,TWOGEŠ2
U+12417,𒐗,three gesh₂,3XGEŠ2
U+12418,𒐘,four gesh₂,FOURGEŠ2
U+12419,𒐙,five gesh₂,FIVEGEŠ2
U+1241A,𒐚,six gesh₂,SIXGEŠ2
U+1241B,𒐛,seven gesh₂,SEVENGEŠ2
U+1241C,𒐜,eight gesh₂,EIGHTGEŠ2
U+1241D,𒐝,nine gesh₂,NINEGEŠ2
U+1241E,𒐞,one geshu,ONEGEŠU
U+1241F,𒐟,two geshu,TWOGEŠU
U+12420,𒐠,three geshu,3XGEŠU
U+12421,𒐡,four geshu,FOURGEŠU
U+12422,𒐢,five geshu,FIVEGEŠU
U+12423,𒐣,two shar₂,TWOŠAR2
U+12424,𒐤,three shar₂,3XŠAR2
U+12425,𒐥,three shar₂ variant form,3XŠAR2VARIANTFORM
U+12426,𒐦,four shar₂,FOURŠAR2
U+12427,𒐧,five shar₂,FIVEŠAR2
U+12428,𒐨,six shar₂,SIXŠAR2
U+12429,𒐩,seven shar₂,SEVENŠAR2
U+1242A,𒐪,eight shar₂,EIGHTŠAR2
U+1242B,𒐫,nine shar₂,NINEŠAR2
U+1242C,𒐬,one sharu,ONEŠARU
U+1242D,𒐭,two sharu,TWOŠARU
U+1242E,𒐮,three sharu,3XŠARU
U+1242F,𒐯,three sharu variant form,3XŠARUVARIANTFORM
U+12430,𒐰,four sharu,FOURŠARU
U+12431,𒐱,five sharu,FIVEŠARU
U+12432,𒐲,shar₂ × gal + dish,ŠAR2XGAL+DISH
U+12434,𒐴,one buru,ONEBURU
U+12435,𒐵,two buru,TWOBURU
U+12436,𒐶,three buru,3XBURU
U+12437,𒐷,three buru variant form,3XBURUVARIANTFORM
U+12438,𒐸,four buru,FOURBURU
U+12439,𒐹,five buru,FIVEBURU
U+1243A,𒐺,three variant form esh₁₆,3XVARIANTFORMEŠ16
U+1243B,𒐻,three variant form esh₂₁,3XVARIANTFORMEŠ21
U+1243C,𒐼,four variant form limmu,FOURVARIANTFORMLIMMU
U+1243D,𒐽,four variant form limmu₄,FOURVARIANTFORMLIMMU4
U+1243E,𒐾,four variant form limmu a,FOURVARIANTFORMLIMMUA
U+1243F,𒐿,four variant form limmu b,FOURVARIANTFORMLIMMUB
U+12440,𒑀,six variant form ash₉,SIXVARIANTFORMAŠ9
U+12441,𒑁,seven variant form imin₃,SEVENVARIANTFORMIMIN3
U+12442,𒑂,seven variant form imin a,SEVENVARIANTFORMIMINA
U+12443,𒑃,seven variant form imin b,SEVENVARIANTFORMIMINB
U+12444,𒑄,eight variant form ussu,EIGHTVARIANTFORMUSSU
U+12445,𒑅,eight variant form ussu₃,EIGHTVARIANTFORMUSSU3
U+12446,𒑆,nine variant form ilimmu,NINEVARIANTFORMILIMMU
U+12447,𒑇,nine variant form ilimmu₃,NINEVARIANTFORMILIMMU3
U+12448,𒑈,nine variant form ilimmu₄,NINEVARIANTFORMILIMMU4
U+12449,𒑉,nine variant form ilimmu a,NINEVARIANTFORMILIMMUA
U+1244A,𒑊,two ash tenu,TWOAŠ@T
U+1244B,𒑋,three ash tenu,3XAŠ@T
U+1244C,𒑌,four ash tenu,FOURAŠ@T
U+1244D,𒑍,five ash tenu,FIVEAŠ@T
U+1244E,𒑎,six ash tenu,SIXAŠ@T
U+1244F,𒑏,one ban₂,ONEBAN2
U+12450,𒑐,two ban₂,TWOBAN2
U+12451,𒑑,three ban₂,3XBAN2
U+12452,𒑒,four ban₂,FOURBAN2
U+12453,𒑓,four ban₂ variant form,FOURBAN2VARIANTFORM
U+12454,𒑔,five ban₂,FIVEBAN2
U+12455,𒑕,five ban₂ variant form,FIVEBAN2VARIANTFORM
U+12458,𒑘,one eshe₃,ONEEŠE3
U+12459,𒑙,two eshe₃,TWOEŠE3
U+1245A,𒑚,one third dish,ONETHIRDDISH
U+1245B,𒑛,two thirds dish,TWOTHIRDSDISH
U+1245C,𒑜,five sixths dish,FIVESIXTHSDISH
U+1245D,𒑝,one third variant form a,ONETHIRDVARIANTFORMA
U+1245E,𒑞,two thirds variant form a,TWOTHIRDSVARIANTFORMA
U+1245F,𒑟,one eighth ash,ONEEIGHTHAŠ
U+12460,𒑠,one quarter ash,ONEQUARTERAŠ
U+12461,𒑡,old assyrian one sixth,OLDASSYRIANONESIXTH
U+12462,𒑢,old assyrian one quarter,OLDASSYRIANONEQUARTER
U+12463,𒑣,one quarter gur,ONEQUARTERGUR
U+12464,𒑤,one half gur,ONEHALFGUR
U+12465,𒑥,elamite one third,ELAMITEONETHIRD
U+12466,𒑦,elamite two thirds,ELAMITETWOTHIRDS
U+12467,𒑧,elamite forty,ELAMITEFORTY
U+12468,𒑨,elamite fifty,ELAMITEFIFTY
U+12469,𒑩,four u variant form,FOURUVARIANTFORM
U+1246A,𒑪,five u variant form,FIVEUVARIANTFORM
U+1246B,𒑫,six u variant form,SIXUVARIANTFORM
U+1246C,𒑬,seven u variant form,SEVENUVARIANTFORM
U+1246D,𒑭,eight u variant form,EIGHTUVARIANTFORM
U+1246E,𒑮,nine u variant form,NINEUVARIANTFORM
U+12470,𒑰,cuneiform punctuation sign old assyrian word divider,CUNEIFORMPUNCTUATIONSIGNOLDASSYRIANWORDDIVIDER
U+12471,𒑱,cuneiform punctuation sign vertical colon,CUNEIFORMPUNCTUATIONSIGNVERTICALCOLON
U+12472,𒑲,cuneiform punctuation sign diagonal colon,CUNEIFORMPUNCTUATIONSIGNDIAGONALCOLON
U+12473,𒑳,cuneiform punctuation sign diagonal tricolon,CUNEIFORMPUNCTUATIONSIGNDIAGONALTRICOLON
U+12474,𒑴,cuneiform punctuation sign diagonal quadcolon,CUNEIFORMPUNCTUATIONSIGNDIAGONALQUADCOLON
U+12480,𒒀,ab × nun tenu,ABXNUN@T
U+12481,𒒁,ab × shu₂,ABXŠU2
U+12482,𒒂,ad × esh₂,ADXEŠ2
U+12483,𒒃,bad × dish tenu,BADXDISH@T
U+12484,𒒄,bahar₂ × ab₂,BAHAR2XAB2
U+12485,𒒅,bahar₂ × ni,BAHAR2XNI
U+12486,𒒆,bahar₂ × za,BAHAR2XZA
U+12487,𒒇,bu / bu × na₂,BU/BUXNA2
U+12488,𒒈,da × tak₄,DAXTAK4
U+12489,𒒉,dag × kur,DAGXKUR
U+1248A,𒒊,dim × igi,DIMXIGI
U+1248B,𒒋,dim × u u u,DIMXUUU
U+1248C,𒒌,dim₂ × ud,DIM2XUD
U+1248D,𒒍,dug × anshe,DUGXANŠE
U+1248E,𒒎,dug × ash,DUGXAŠ
U+1248F,𒒏,dug × ash at left,DUGXAŠATLEFT
U+12490,𒒐,dug × din,DUGXDIN
U+12491,𒒑,dug × dun,DUGXDUN
U+12492,𒒒,dug × erin₂,DUGXERIN2
U+12493,𒒓,dug × ga,DUGXGA
U+12494,𒒔,dug × gi,DUGXGI
U+12495,𒒕,dug × gir₂ gunu,DUGXGIR2@G
U+12496,𒒖,dug × gish,DUGXGIŠ
U+12497,𒒗,dug × ha,DUGXHA
U+12498,𒒘,dug × hi,DUGXHI
U+12499,𒒙,dug × igi gunu,DUGXIGI@G
U+1249A,𒒚,dug × kaskal,DUGXKASKAL
U+1249B,𒒛,dug × kur,DUGXKUR
U+1249C,𒒜,dug × kushu₂,DUGXKUŠU2
U+1249D,𒒝,dug × kushu₂ + kaskal,DUGXKUŠU2+KASKAL
U+1249E,𒒞,dug × lak-020,DUGXLAK-020
U+1249F,𒒟,dug × lam,DUGXLAM
U+124A0,𒒠,dug × lam × kur,DUGXLAMXKUR
U+124A1,𒒡,dug × luh + gish,DUGXLUH+GIŠ
U+124A2,𒒢,dug × mash,DUGXMAŠ
U+124A3,𒒣,dug × mes,DUGXMES
U+124A4,𒒤,dug × mi,DUGXMI
U+124A5,𒒥,dug × ni,DUGXNI
U+124A6,𒒦,dug × pi,DUGXPI
U+124A7,𒒧,dug × she,DUGXŠE
U+124A8,𒒨,dug × si gunu,DUGXSI@G
U+124A9,𒒩,e₂ × kur,E2XKUR
U+124AB,𒒫,erin₂ x,ERIN2X
U+124AC,𒒬,esh₂ crossing esh₂,EŠ2CROSSINGEŠ2
U+124AD,𒒭,ezen sheshig × ash,EZENŠEŠIGXAŠ
U+124AE,𒒮,ezen sheshig × hi,EZENŠEŠIGXHI
U+124AF,𒒯,ezen sheshig × igi gunu,EZENŠEŠIGXIGI@G
U+124B0,𒒰,ezen sheshig × la,EZENŠEŠIGXLA
U+124B1,𒒱,ezen sheshig × lal,EZENŠEŠIGXLAL
U+124B2,𒒲,ezen sheshig × me,EZENŠEŠIGXME
U+124B3,𒒳,ezen sheshig × mes,EZENŠEŠIGXMES
U+124B4,𒒴,ezen sheshig × su,EZENŠEŠIGXSU
U+124B5,𒒵,ezen × su,EZENXSU
U+124B6,𒒶,ga₂ × bahar₂,GA2XBAHAR2
U+124B7,𒒷,ga₂ × dim gunu,GA2XDIM@G
U+124B8,𒒸,ga₂ × dug × igi gunu,GA2XDUGXIGI@G
U+124B9,𒒹,ga₂ × dug × kaskal,GA2XDUGXKASKAL
U+124BA,𒒺,ga₂ × eren,GA2XEREN
U+124BB,𒒻,ga₂ × ga,GA2XGA
U+124BC,𒒼,ga₂ × gar + di,GA2XGAR+DI
U+124BD,𒒽,ga₂ × gar + ne,GA2XGAR+NE
U+124BE,𒒾,ga₂ × ha + a,GA2XHA+A
U+124BF,𒒿,ga₂ × kushu₂ + kaskal,GA2XKUŠU2+KASKAL
U+124C0,𒓀,ga₂ × lam,GA2XLAM
U+124C1,𒓁,ga₂ × lam × kur,GA2XLAMXKUR
U+124C2,𒓂,ga₂ × luh,GA2XLUH
U+124C3,𒓃,ga₂ × mush,GA2XMUŠ
U+124C4,𒓄,ga₂ × ne,GA2XNE
U+124C5,𒓅,ga₂ × ne + e₂,GA2XNE+E2
U+124C6,𒓆,ga₂ × ne + gi,GA2XNE+GI
U+124C7,𒓇,ga₂ × shim,GA2XŠIM
U+124C8,𒓈,ga₂ × ziz₂,GA2XZIZ2
U+124C9,𒓉,gaba rot. ninety degrees,GABAROT.NINETYDEGREES
U+124CA,𒓊,geshtin × u,GEŠTINXU
U+124CB,𒓋,gish × gish crossing gish,GIŠXGIŠCROSSINGGIŠ
U+124CC,𒓌,gu₂ × igi gunu,GU2XIGI@G
U+124CD,𒓍,gud + gish × tak₄,GUD+GIŠXTAK4
U+124CF,𒓏,hi × ash / hi × ash,HIXAŠ/HIXAŠ
U+124D0,𒓐,ka × bu,KAXBU
U+124D1,𒓑,ka × ka,KAXKA
U+124D2,𒓒,ka × u u u,KAXUUU
U+124D3,𒓓,ka × ur,KAXUR
U+124D4,𒓔,lagab × zu / zu,LAGABXZU/ZU
U+124D5,𒓕,lak-003,LAK-003
U+124D6,𒓖,lak-021,LAK-021
U+124D7,𒓗,lak-025,LAK-025
U+124D8,𒓘,lak-030,LAK-030
U+124D9,𒓙,lak-050,LAK-050
U+124DA,𒓚,lak-051,LAK-051
U+124DB,𒓛,lak-062,LAK-062
U+124DC,𒓜,lak-079 / lak-079 gunu,LAK-079/LAK-079@G
U+124DD,𒓝,lak-080,LAK-080
U+124DE,𒓞,lak-081 / lak-081,LAK-081/LAK-081
U+124DF,𒓟,lak-092,LAK-092
U+124E0,𒓠,lak-130,LAK-130
U+124E1,𒓡,lak-142,LAK-142
U+124E2,𒓢,lak-210,LAK-210
U+124E3,𒓣,lak-219,LAK-219
U+124E4,𒓤,lak-220,LAK-220
U+124E5,𒓥,lak-225,LAK-225
U+124E6,𒓦,lak-228,LAK-228
U+124E7,𒓧,lak-238,LAK-238
U+124E8,𒓨,lak-265,LAK-265
U+124E9,𒓩,lak-266,LAK-266
U+124EA,𒓪,lak-343,LAK-343
U+124EB,𒓫,lak-347,LAK-347
U+124EC,𒓬,lak-348,LAK-348
U+124ED,𒓭,lak-383,LAK-383
U+124EE,𒓮,lak-384,LAK-384
U+124EF,𒓯,lak-390,LAK-390
U+124F0,𒓰,lak-441,LAK-441
U+124F1,𒓱,lak-449,LAK-449
U+124F2,𒓲,lak-449 × gu,LAK-449XGU
U+124F3,𒓳,lak-449 × igi,LAK-449XIGI
U+124F4,𒓴,lak-449 × pap + lu₃,LAK-449XPAP+LU3
U+124F5,𒓵,lak-449 × pap + pap + lu₃,LAK-449XPAP+PAP+LU3
U+124F6,𒓶,lak-449 × u₂ + ba,LAK-449XU2+BA
U+124F7,𒓷,lak-450,LAK-450
U+124F8,𒓸,lak-457,LAK-457
U+124F9,𒓹,lak-470,LAK-470
U+124FA,𒓺,lak-483,LAK-483
U+124FB,𒓻,lak-490,LAK-490
U+124FC,𒓼,lak-492,LAK-492
U+124FD,𒓽,lak-493,LAK-493
U+124FE,𒓾,lak-495,LAK-495
U+124FF,𒓿,lak-550,LAK-550
U+12500,𒔀,lak-608,LAK-608
U+12501,𒔁,lak-617,LAK-617
U+12502,𒔂,lak-617 × ash,LAK-617XAŠ
U+12503,𒔃,lak-617 × bad,LAK-617XBAD
U+12504,𒔄,lak-617 × dun₃ gunu gunu,LAK-617XDUN3@G@G
U+12505,𒔅,lak-617 × ku₃,LAK-617XKU3
U+12506,𒔆,lak-617 × la,LAK-617XLA
U+12507,𒔇,lak-617 × tar,LAK-617XTAR
U+12508,𒔈,lak-617 × te,LAK-617XTE
U+12509,𒔉,lak-617 × u₂,LAK-617XU2
U+1250A,𒔊,lak-617 × ud,LAK-617XUD
U+1250B,𒔋,lak-617 × uruda,LAK-617XURUDA
U+1250C,𒔌,lak-636,LAK-636
U+1250D,𒔍,lak-648,LAK-648
U+1250E,𒔎,lak-648 × dub,LAK-648XDUB
U+1250F,𒔏,lak-648 × ga,LAK-648XGA
U+12510,𒔐,lak-648 × igi,LAK-648XIGI
U+12511,𒔑,lak-648 × igi gunu,LAK-648XIGI@G
U+12512,𒔒,lak-648 × ni,LAK-648XNI
U+12513,𒔓,lak-648 × pap + pap + lu₃,LAK-648XPAP+PAP+LU3
U+12514,𒔔,lak-648 × shesh + ki,LAK-648XŠEŠ+KI
U+12515,𒔕,lak-648 × ud,LAK-648XUD
U+12516,𒔖,lak-648 × uruda,LAK-648XURUDA
U+12517,𒔗,lak-724,LAK-724
U+12518,𒔘,lak-749,LAK-749
U+12519,𒔙,lu₂ gunu × ash,LU2@GXAŠ
U+1251A,𒔚,lu₂ × dish,LU2XDISH
U+1251B,𒔛,lu₂ × hal,LU2XHAL
U+1251C,𒔜,lu₂ × pap,LU2XPAP
U+1251D,𒔝,lu₂ × pap + pap + lu₃,LU2XPAP+PAP+LU3
U+1251E,𒔞,lu₂ × tak₄,LU2XTAK4
U+1251F,𒔟,mi + za₇,MI+ZA7
U+12520,𒔠,mush / mush × ga,MUŠ/MUŠXGA
U+12521,𒔡,mush / mush × kak,MUŠ/MUŠXKAK
U+12522,𒔢,ninda₂ × dim gunu,NINDA2XDIM@G
U+12524,𒔤,ninda₂ × gul,NINDA2XGUL
U+12526,𒔦,ninda₂ × kesh₂,NINDA2XKEŠ2
U+12527,𒔧,ninda₂ × lak-050,NINDA2XLAK-050
U+12528,𒔨,ninda₂ × mash,NINDA2XMAŠ
U+12529,𒔩,ninda₂ × pap + pap,NINDA2XPAP+PAP
U+1252A,𒔪,ninda₂ × u,NINDA2XU
U+1252B,𒔫,ninda₂ × u + u,NINDA2XU+U
U+1252C,𒔬,ninda₂ × uruda,NINDA2XURUDA
U+1252D,𒔭,sag gunu × ha,SAG@GXHA
U+1252E,𒔮,sag × en,SAGXEN
U+1252F,𒔯,sag × she at left,SAGXŠEATLEFT
U+12530,𒔰,sag × tak₄,SAGXTAK4
U+12531,𒔱,sha₆ tenu,ŠA6@T
U+12532,𒔲,she / she,ŠE/ŠE
U+12533,𒔳,she + hub₂,ŠE+HUB2
U+12534,𒔴,she + nam₂,ŠE+NAM2
U+12535,𒔵,she + sar,ŠE+SAR
U+12536,𒔶,shu₂ + dug × ni,ŠU2+DUGXNI
U+12537,𒔷,shu₂ + e₂ × an,ŠU2+E2XAN
U+12538,𒔸,si × tak₄,SIXTAK4
U+12539,𒔹,tak₄ + sag,TAK4+SAG
U+1253A,𒔺,tum × gan₂ tenu,TUMXGAN2@T
U+1253B,𒔻,tum × three dish,TUMXX3DISH
U+1253C,𒔼,ur₂ inv.,UR2INV.
U+1253D,𒔽,ur₂ × ud,UR2XUD
U+1253E,𒔾,uru × dara₃,URUXDARA3
U+1253F,𒔿,uru × lak-668,URUXLAK-668
U+12540,𒕀,uru × lu₃,URUXLU3
U+12542,𒕂,zu / zu + sar,ZU/ZU+SAR
U+12543,𒕃,zu₅ × three dish tenu,ZU5XX3DISH@T
