unicode_id,sign_grapheme,unicodeTrLit,syllabarySign,PhoneticsVersion
U+1202E,𒀮,an / an,|AN&AN|,malₓ | mulₓ | nab | nap | nubₓ | tillaₓ
U+12030,𒀰,an + naga opposing an + naga,|(AN.NAGA)@(AN.NAGA)|,dalhamun₅ | dalhamunₓ
U+12031,𒀱,an + naga squared,|4×(AN.NAGA)|,dalhamun₄
U+12039,𒀹,ash zida tenu,AŠ@t,1(aš@t) | aš₁₁ | aš@t | del₄ | dele₄ | deš₅ | dil₄ | dili₄ | diš@t | 1(diš@t) | eš₁₈ | ge₂₃ | iš₈ | sagtag₃ | sagtak₃ | saŋtaₓ | saŋtak₃ | santa₃ | santag₃ | santak₃ | ubu | uburaₓ | upaₓ | upuₓ | uzaglal | uzaraₓ | 1/2(iku) | 1(iku@t) | 1(aš@t@c)
U+1203A,𒀺,ash kaba tenu,AŠ@k,ulilₓ | utaqaₓ | uzalagₓ | uzalakₓ
U+1203B,𒀻,ash / ash tug₂ / tug₂ tug₂ / tug₂ pap,|AŠ&AŠ.TUG₂&TUG₂.TUG₂&TUG₂.PAP|,gašmu
U+1203C,𒀼,ash / ash / ash,|AŠ&AŠ&AŠ|,eš₁₆ | šušur | 3(aš@v) | 3(aš~a) | eš₁₆
U+1203D,𒀽,ash / ash / ash crossing ash / ash / ash,|(AŠ&AŠ&AŠ)%(AŠ&AŠ&AŠ)|,kad₈ | šušur₂
U+12045,𒁅,bal / bal,|BAL&BAL|,minbulugₓ
U+1204E,𒁎,bu / bu ab,|BU&BU.AB|,sirsir
U+1204F,𒁏,bu / bu un,|BU&BU.KALAM@g|,gutir | kide
U+12050,𒁐,bu crossing bu,|BU%BU|,unu₁₂ | sirsirₓ
U+12052,𒁒,bulug / bulug,|BULUG&BULUG|,mebulug₂ | menbulug₂ | minbulug₂ | šembulug? | šimbulug?
U+12078,𒁸,din kaskal u gunu dish,|DIN.KASKAL.U@g.DIŠ|,sagkurun | saŋkurun
U+12079,𒁹,dish,DIŠ,anₓ | ana | aš₁₀ | barig | daš₂ | deš | diš | diša | duš₂ | eš₄ | ge₃ | il₄ | ili₆ | iš₄ | m | makaš | makkaš | muš₇ | nigida | saŋtaₓ | saŋtak₄ | salubug₂ | salugub₂ | sandak₄ | santa₄ | santag₄ | santak₄ | šantag | šantak | tal₄ | taš₂ | til₅ | tiš | tiz | ṭiš | uₓ | ukitₓ | uš₉ | 6(ban₂) | 1(barig) | 1(bariga) | 1(diš) | barig@c | bariga@c | diš@c | 1(aš@c@90) | 1/2(aš@c@90) | 1(barig@c) | 1(bariga@c) | 1(diš@c) | 1/2(iku@c) | diš@f
U+1207B,𒁻,du / du,|DU&DU|,er₁₄ | la₄? | lah₄ | laha₄ | lalah | re₇ | ri₇ | su₈ | sub₂ | sug₂ | sup₂?
U+1207D,𒁽,du sheshig,DU@s,barim | gim₄ | gir₅ | giri₅ | girim₂ | im₂ | ka₇ | kaku | kamaš | kas₄ | kaš₄ | kim₄ | lah₇ | maškimₓ | parim | raₓ | rim₄ | barim⁻ | gir₅⁻ | im₂⁻ | kaš₄⁻
U+1208C,𒂌,e / e nun / nun,|E&E.NUN&NUN|,hilibu
U+1209B,𒂛,en crossing en,|EN%EN|,adamen₅ | adamin₅ | akarₓ | dalhamun₂ | hamunₓ | mereₓ | merimer | merimeri | mermer | mermeri | nigir₃ | nimgigri? | nimgirgirri | urbigu₂ | urbingu₂
U+120A4,𒂤,ezen × a + lal × lal,|EZEN×(A.LAL₂)|,asil₄ | asila₄ | asilal₄ | sil₉
U+120B0,𒂰,ezen × lal × lal,|EZEN×LAL₂|,asil | asila | asilal | silₓ | asila⁻
U+120D7,𒃗,ga₂ × ish + hu + ash,|GA₂×(IŠ.HU.AŠ)|,išhuru₅ | išhurum₅
U+120E1,𒃡,ga₂ × nun / nun,|GA₂×(NUN&NUN)|,gušur? | ŋušur | ur₃ | ura₃ | uru₁₂
U+120ED,𒃭,ga₂ / ga₂,|GA₂&GA₂|,lirumₓ
U+120EF,𒃯,gaba crossing gaba,|GABA%GABA|,
U+120F1,𒃱,gad / gad gar / gar,|GAD&GAD.GAR&GAR|,kinda
U+120F3,𒃳,gal gad / gad gar / gar,|GAL.GAD&GAD.GAR&GAR|,kindagal | kindaŋal
U+120F9,𒃹,gan₂ / gan₂,|GAN₂&GAN₂|,lirumₓ
U+120FA,𒃺,gan₂ crossing gan₂,|GAN₂%GAN₂|,alal₄? | girriₓ | ulul₂
U+12103,𒄃,gi crossing gi,|GI%GI|,esir₄ | ge₁₆ | gel | geleŋ | gi₁₆ | gib | gig₃? | gil | gili | gilibₓ | gilim | gillim | kil₂ | kilim₂ | qil₂ | qili₂? | unu₁₀
U+12105,𒄅,gi₄ / gi₄,|GI₄&GI₄|,kilₓ
U+12106,𒄆,gi₄ crossing gi₄,|GI₄%GI₄|,esir₅ | gigi
U+12112,𒄒,gish crossing gish,|GIŠ%GIŠ|,adamen₃ | adamin₃ | alal₃ | an₂? | dara₅ | dari₅ | daru₅ | dur₄ | duru₄ | durum₄ | gib₂ | gip₂ | girriₓ | hul₃ | kib | kip | liri₃ | liru₃ | lirum₃ | qeb | qep | qib | qip | rašₓ | šallur | šennur | tur₄ | ṭur₄ | ul₃ | ullu | ulul
U+12117,𒄗,gu crossing gu,|GU%GU|,saₓ | sah₄ | sih₅ | suh₃ | zaₓ | zih
U+12121,𒄡,gud / gud lugal,|GUD&GUD.LUGAL|,bišeba₃? | bišebi₃? | kaššeba₃? | kaššebi₃?
U+12131,𒄱,hi × dish,|HI×DIŠ|,as₆ | aš₈ | šardiš? | šargalₓ | šarŋeš | 1(šargal~a) | 6(šaru)~a | umma₂? | utulₓ
U+1213C,𒄼,hub₂ × lish,|HUB₂×LIŠ|,
U+12143,𒅃,idim / idim bur,|IDIM&IDIM.BUR|,bansur₂ | banšur₂ | burₓ | buru₉ | gurinₓ | gurunₓ | kiši₁₁ | kurunₓ
U+12144,𒅄,idim / idim squared,|4×(IDIM&IDIM)|,burₓ | buruₓ | gurinₓ | gurunₓ | kurunₓ
U+12147,𒅇,igi dib,|IGI.DIB|,ša₁₇ | u₃
U+12148,𒅈,igi ri,|IGI.RI|,ar | ara₈
U+12149,𒅉,igi / igi shir / shir ud / ud,|IGI&IGI.ŠIR&ŠIR.UD&UD|,dimsar
U+12150,𒅐,im crossing im,|IM%IM|,agar₅ | aŋar₅ | angar | dalhamun₆ | hamunₓ | merimer₃ | merimeri₃ | mermer₃ | mermeri₃ | nimgigre | nimgirgireₓ | rad₂ | zigara | zigkaru | zikara | zikaru | aŋar₅ | dalhamun₆ | mermeri₃
U+12156,𒅖,ish,IŠ,es₅ | eš₁₅ | is₂ | isi | isiš | iš | iši | iṣ₂ | iz₂ | kukkuda₂ | kukkuš | kukkušda | kukuda₂ | kuš₇ | kuzunₓ | mel | mil | mili | milla | sahar | sahardub | sušₓ | šen₆ | šuš₃ | ukum
U+1216A,𒅪,ka × gish crossing gish,|KA×(GIŠ%GIŠ)|,gasa | gaza₃ | ibira | irhandiₓ | nehandiₓ | tibira₂
U+1218E,𒆎,ka₂ crossing ka₂,|KA₂%KA₂|,xₓ
U+12194,𒆔,kad₅ / kad₅,|KAD₅&KAD₅|,esirₓ
U+12199,𒆙,kal crossing kal,|KAL%KAL|,liri₇ | liru₇ | lirum₇
U+1219D,𒆝,kaskal lagab × u / lagab × u,|KASKAL.(LAGAB×U)&(LAGAB×U)|,šubtu₆ | šubtum₆
U+1219E,𒆞,kaskal / kaskal lagab × u / lagab × u,|(KASKAL.LAGAB×U)&(KASKAL.LAGAB×U)|,šubtu₇ | šubtum₇
U+121A7,𒆧,kish,KIŠ,erraₓ | ilₓ | keš | keše | kis | kiš | kiše | kiši | kiṣ | lazₓ | qis | qiš
U+121A9,𒆩,kisim₅ / kisim₅,|KISIM₅&KISIM₅|,gingira?
U+121AB,𒆫,ku / hi × ash₂ ku / hi × ash₂,|KU&(HI×AŠ₂).KU&(HI×AŠ₂)|,merimer₅ | merimeri₅ | mermer₅ | mermeri₅
U+121AE,𒆮,ku₄ variant form,REC145,
U+121BF,𒆿,lagab × ash zida tenu,|LAGAB×AŠ@z|,
U+121D5,𒇕,lagab × lish,|LAGAB×AŠ@t|,gigir₃ | gigir₃
U+121DE,𒇞,lagab × shita + gish tenu,|LAGAB×(ŠITA@t.GIŠ)|,me₉ | muššagana₂? | sagdudu | saŋdudu | me₉ | sagdudu | saŋdudu | meₓ | sagduduₓ | saŋduduₓ
U+121F0,𒇰,lagar gunu / lagar gunu she,|LAGAR@g&LAGAR@g.ŠE|,sumunda | šumunₓ | šumunda
U+121F3,𒇳,lal × lal,LAL₂,kurnun? | la₅ | laʾu | lal-lal | lal₂ | lalʾu | lalla | lallal | papnun
U+121FA,𒇺,lish,LIŠ,del₂ | dili₂ | dilim₂ | li₁₂ | lih₄? | lis | liš | liz | mal₄? | šil₄
U+12212,𒈒,lu₂ crossing lu₂,,
U+12215,𒈕,lu₂ sheshig,LU₂@s,ad₇ | addaₓ | dim₃ | irina₃ | ri₉ | rin₅ | ug₈? | kama₆ | kamad | lugam
U+12218,𒈘,lugal / lugal,|LUGAL&LUGAL|,adamen₂ | adamin₂ | dadrum? | gug₅ | kukuₓ | adamenₓ | eₓ | gug₅ | adamin₂ | gug₅
U+1221A,𒈚,lugal sheshig,LUGAL@s,dimₓ
U+1221E,𒈞,lum / lum,|LUM&LUM|,gum₂-gum₂ | gumgum
U+1221F,𒈟,lum / lum gar / gar,|LUM&LUM.GAR&GAR|,lugud₃
U+1222D,𒈭,mu / mu,|MU&MU|,dah | siskurₓ | tah | taha | tuh₂ | ṭah
U+12236,𒈶,mush / mush,|MUŠ&MUŠ|,arinaₓ | mušₓ
U+12237,𒈷,mush / mush × a + na,|(MUŠ&MUŠ)×(A.NA)|,arinaₓ
U+12238,𒈸,mush crossing mush,|MUŠ%MUŠ|,arinaₓ | kunigara₄ | mušₓ | mušdama₂ | muškuₓ | re₈ | ri₈ | rin₄ | riₓ
U+12241,𒉁,naga inv.,NAGA@180,teme₂ | temeₓ
U+12245,𒉅,nam nutillu,BURU₅,birₓ | bur₅ | buru₅ | parₓ | buru₅
U+1224B,𒉋,ne sheshig,NE@s,bel₂ | bi₅ | bil₂ | ge₁₀ | gi₁₀ | gibi | gibil | gibila | gigiₓ | gil₄ | ne₈ | pel₂ | pil₂ | bilₓ | bilₓ | bilₓ | bilₓ | bilₓ | bilₓ | bilₓ | bilₓ | bilₓ | bilₓ
U+1225B,𒉛,ninda₂ × she + a an,,
U+12264,𒉤,nun lagar × gar,|NUN.LAGAR×GAR|,gagaₓ | galgaₓ | ŋalgaₓ | gagaₓ
U+12265,𒉥,nun lagar × mash,,
U+12266,𒉦,nun lagar × sal,|NUN.LAGAR×SAL|,arhus₂ | arhuš₂ | immal₂ | šallam | šilaₓ | šilam | šillatₓ | turₓ | uš₅ | immal | šilam⁻ | arhuš₃ | immal | šalam₂ | šallam₂ | šilam₂ | turₓ | uš₆
U+12267,𒉧,nun lagar × sal / nun lagar × sal,|(NUN.LAGAR×SAL)&(NUN.LAGAR×SAL)|,akarₓ | akraₓ
U+12268,𒉨,nun lagar × ush,|NUN.LAGAR×UŠ|,xrigₓ
U+1226A,𒉪,nun / nun,|NUN&NUN|,lurₓ | nar₃ | naraₓ | nenerₓ | ner | ninir | nir | nira | nur | ri₅ | šer₇ | tirₓ?
U+1226B,𒉫,nun crossing nun,|NUN%NUN|,adamen₄ | adamin₄ | eribura | irburaₓ | iribura | liri₆ | liru₆ | lirum₆ | šed₃ | šeššed | šid₃ | urgilim
U+1226C,𒉬,nun crossing nun lagar / lagar,|NUN%NUN.LAGAR&LAGAR|,akar | ega₂
U+12279,𒉹,nunuz kisim₅ × bi u,|NUNUZ.KISIM₅×BI.U|,lahtan₃
U+12289,𒊉,pi crossing pi,|PI%PI|,taltal
U+12294,𒊔,sag nutillu,SAG@n,keš₄ | keše₄ | kiše₄ | kiši₄
U+122A7,𒊧,sag / sag,|SAG&SAG|,sagminₓ | saŋminₓ
U+122AA,𒊪,sal lagab × ash₂,,
U+122BB,𒊻,she hu,|ŠE.HU|,bazbazₓ | us | uš₁₀ | uṣ | uz | uza | uzu₃
U+122BC,𒊼,she / she gad / gad gar / gar,|ŠE&ŠE.GAD&GAD.GAR&GAR|,garadin₂ | karadin₂
U+122BD,𒊽,she / she tab / tab gar / gar,|ŠE&ŠE.TAB&TAB.GAR&GAR|,garadin₃ | karadin₃
U+122D5,𒋕,shir / shir bur / bur,|NU₁₁&NU₁₁.BUR&BUR|,numma
U+122D8,𒋘,shu / inv. shu,|ŠU&ŠU@180|,lilₓ? | šuₓ
U+122DF,𒋟,sig₄ / sig₄ shu₂,|SIG₄&SIG₄.ŠU₂|,guhšu | hiₓ | lahhušu | šikahara
U+122E3,𒋣,su / su,|SU&SU|,e₆
U+122F1,𒋱,tab / tab ni / ni dish / dish,|TAB&TAB.NI&NI.DIŠ&DIŠ|,ubišaga
U+12302,𒌂,tir × tak₄,|(ŠE.NUN&NUN)×TAK₄|,ezinaₓ | ezinuₓ
U+12303,𒌃,tir / tir,|(ŠE.NUN&NUN)&(ŠE.NUN&NUN)|,garadin₆? | karadin₆? | nenni₅ | ninni₅ | ninniₓ | ninniₓ | ninniₓ
U+12304,𒌄,tir / tir gad / gad gar / gar,|(ŠE.NUN&NUN)&(ŠE.NUN&NUN).GAD&GAD.GAR&GAR|,garadin | karadin
U+1230A,𒌊,tur / tur za / za,|TUR&TUR.ZA&ZA|,zazana | zazna | zezna | zizₓ | zizna | zizna
U+1230C,𒌌,u gud,|U.GUD|,du₇ | mul₄ | raₓ | ru₅ | ul | ula | ullu₃ | ulu | ur₆?
U+1230D,𒌍,u u u,|U.U.U|,ba₃ | batu | es₂ | eš | eša₂ | eše | is₅ | iš₃ | nan₃ | sin | šib₀ | šip₀ | ṣin | uš₁₈ | ušu₃ | uzₓ | 3(bur₃) | 3(u) | eše@c | 3(bur₃@c) | 3(u@c) | 3(u@c)@v
U+1230E,𒌎,u / u pa / pa gar / gar,|U&U.PA&PA.GAR&GAR|,garadin₁₀ | karadin₁₀
U+1230F,𒌏,u / u sur / sur,|U&U.SUR&SUR|,garadin₉ | karadin₉
U+12310,𒌐,u / u u reversed / u reversed,|U&U.U@v&U@v|,bargi? | mašgi?
U+12314,𒌔,ud kushu₂,|UD.KUŠU₂|,ah₆ | akšak | garu | huya | keš₁₈ | keši₁₈ | kua₂ | kuia | kušaₓ | kušu₃ | kuwa₂ | kuya₂ | uʾ₄ | uh₂ | uhu₂
U+1231A,𒌚,ud sheshig,UD@s,itiₓ | itudₓ
U+1231B,𒌛,ud sheshig × bad,|UD@s×BAD|,iti₂ | itid₂ | itu₂ | itud₂
U+12329,𒌩,ur crossing ur,|UR%UR|,liliru | liri₈ | liru₈ | lirum₈ | urbigu | urbingu | lirum₈ | ur-ur
U+1232A,𒌪,ur sheshig,UR@s,dul₉ | šudul₅ | šudun₅ | šutul₅ | šutun₅ | tul₇ | ṭul₄
U+12344,𒍄,uru × ish,|URU×IŠ|,
U+1235F,𒍟,za squared × kur,|(4×ZA)×KUR|,geštae | gištaʾe | gištaʾi | gištae | ŋeštae
U+12364,𒍤,zi / zi,|ZI&ZI|,
U+12367,𒍧,zib kaba tenu,|AŠ@k&AŠ@k&AŠ@k&AŠ@k|,sumₓ
U+1236F,𒍯,kap elamite,KAP₀,kap₀
U+12370,𒍰,ab × nun,|AB×NUN|,
U+12371,𒍱,ab₂ × a,|AB₂×A|,
U+12372,𒍲,amar × kug,|AMAR×KU₃|,
U+12373,𒍳,dag kisim₅ × u₂ + mash,|DAG.KISIM₅×(U₂.MAŠ)|,
U+12375,𒍵,dish + shu,|DIŠ+ŠU|,
U+12376,𒍶,dub × she,,
U+12377,𒍷,ezen × gud,,
U+12379,𒍹,ga₂ × an + kak + a,|GA₂×(AN.KAK.A)|,usud
U+1237A,𒍺,ga₂ × ash₂,|GA₂×AŠ₂|,gaziₓ | gazigalₓ
U+1237E,𒍾,ka × anshe,|KA×ANŠE|,
U+1237F,𒍿,ka × ash₃,|KA×6(DIŠ)|,
U+12381,𒎁,ka × gud,|KA×GUD|,
U+12385,𒎅,ka × shul,|KA×DUN|,
U+12386,𒎆,ka × tu,,
U+12388,𒎈,lagab × gi,|LAGAB×GI|,
U+12389,𒎉,lu₂ sheshig × bad,|LU₂@s×BAD|,ad₈ | addaₓ
U+1238A,𒎊,lu₂ × esh₂ + lal,|LU₂×(EŠ₂.LAL)|,ereₓ | ešela | ešelal | irₓ? | xₓ | xidₓ
U+1238D,𒎍,mush₃ × za,|ZA.AN.MUŠ₃@g|,šubaₓ | zannaruₓ
U+12391,𒎑,ninda₂ × bal,|NINDA₂×BAL|,gur₂₃
U+12392,𒎒,ninda₂ × gi,|NINDA₂×GI|,giguruₓ
U+12393,𒎓,nu₁₁ rot. ninety degrees,NU₁₁@90,
U+12394,𒎔,pesh₂ *,PEŠ₂~v,
U+12396,𒎖,sag × igi gunu,|SAG×IGI@g|,
U+12398,𒎘,um × me,|UM×ME|,
U+12399,𒎙,u u,|U.U|,amna₂ | buzur₂ | gešₓ | gišₓ | ma₁₀ | mam | man | mana | men₅ | mešₓ | mim₃ | min₃ | mina₃ | naš | nes | neš | nis | niš | niz | puzur₂ | šamaš₂ | šar₄ | šarru₂ | šušana₂ | šušanaku | utu₃ | wan | 2(bur₃) | 2(u) | 2(bur₃@c) | 2(u@c)
U+12400,𒐀,two ash,2(AŠ),2(aš) | 2(iku) | 2(aš@c) | 2(iku@c)
U+12401,𒐁,three ash,3(AŠ),eš₆ | 3(aš) | 3(iku) | 3(aš@c) | 3(iku@c)
U+12402,𒐂,four ash,4(AŠ),4(aš) | 4(iku) | arba | arrap | erba | erbe | lam₄ | lammu₂ | lim₂ | limmu₂ | limu₂ | 4(aš@c) | 4(iku@c)
U+12403,𒐃,five ash,5(AŠ),5(aš) | 5(iku) | 5(aš@c) | 5(iku@c)
