p_number,designation,period,provenience,subgenre,line_label,sumerian_reading,sign_sequence,akkadian_gloss
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r i' 3',kadra,|GAR.ŠA₃.A|,[ka]-⸢ad⸣-ru-u₂
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r i' 4',nindaba,|PAD.AN.MUŠ₃|,[ni]-⸢in⸣-da-bu-u₂
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r i' 5',ninnim₇,|PAD.AN.MUŠ₃|,[ta-ak]-⸢li⸣-im-tum
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r i' 8',kar-kar{ki},,kar-ka-ra
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r i' 9',nibru{ki},|EN.KID|{⸢ki⸣},ni-ip-pu-ru
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r i' 10',uri₂{ki},|ŠEŠ.AB|{⸢ki⸣},u₄-ru
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r i' 11',unug{ki},,u₂-ru-uk
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r i' 12',kul-ab{ki},,⸢ku⸣-ul-a-ba
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r i' 13',engiz,|EN.ME.GI|,⸢nu⸣-ha-tim-⸢mu⸣
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r i' 14',engiz,|EN.ME.GI|,⸢si⸣-ra-šu-u₂
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r i' 15',ensi,|EN.ME.LI|,⸢ša⸣-i-lum
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r ii' 1',,ANŠE-⸢X⸣,
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r ii' 2',,|ANŠE.ARAD|,⸢ša⸣-[...]
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r ii' 3',,ANŠE-A-MI,hu-⸢x⸣-[x]
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r ii' 4',,|ANŠE.SAL|,a-ta-nu
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r ii' 5',,|TAG.TAG|,du-⸢mu⸣-qum
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r ii' 6',,|TAG.TAG|,zu-hu-nu-u₂
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r ii' 7',,|TAG.TAG|,⸢ta⸣-qi₂-nu-um
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r ii' 8',,|TUR.UŠ|,⸢ap-lum⸣
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r ii' 9',⸢TUR⸣{da},,⸢ek-du-um⸣
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r ii' 10',<(TUR{da)>},,da-⸢x⸣-[x]-u₂
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r ii' 11',<(TUR{da)>},,re-du-um
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r ii' 12',<(TUR{da)>},,ṣe-⸢eh⸣-rum
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r ii' 13',<(TUR{da)>},,ta-⸢ši⸣-[im]-⸢tum⸣
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r ii' 14',,|TUR.DIŠ|,⸢x-x⸣-rum
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r ii' 15',,|EŠ₂.ŠE|,[da]-⸢pi⸣-nu-u₂
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r ii' 16',,EŠ₂-⸢IŠ⸣,[...]-u₂-⸢šu⸣
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r iii' 1',,|TE.AB@g|,⸢x⸣-[...]
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r iii' 2',,|TE.AB@g|,⸢x⸣-[...]
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r iii' 3',,|TE.AB@g|,⸢x⸣-[...]
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r iii' 4',,|TE.AB@g|,⸢x⸣-[...]
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r iii' 5',,|TE.AB@g|,na-[...]
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r iii' 6',,|EZEN×DUN₃@g|{ki},UD-[...]
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r iii' 7',,|EZEN×KU₃|{ki},UD-[...]
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r iii' 8',,|EZEN×IGI@g|{ki},⸢ki⸣-[...]
P227753,"PBS 05, 131",Old Babylonian,Nippur,OB Nippur Diri,r iii' 9',,LU₂-⸢X⸣,
P228213,"MSL 15, 009 U",Old Babylonian,Nippur,OB Nippur Diri,o 1,agrig,|IGI.DUB|,a-ba-ra-ak-kum
P228213,"MSL 15, 009 U",Old Babylonian,Nippur,OB Nippur Diri,o 2,agrig,,ag₂-ri-iq-qu₃-um
P228213,"MSL 15, 009 U",Old Babylonian,Nippur,OB Nippur Diri,o 3,imhur₄,|IGI.A|,hu-ur-hu-ma-at
P228213,"MSL 15, 009 U",Old Babylonian,Nippur,OB Nippur Diri,o 4,imhur₂,|IGI.BI|,hu-ur-hu-ma-at
P228213,"MSL 15, 009 U",Old Babylonian,Nippur,OB Nippur Diri,o 5,halib,|IGI.KUR|,ir-ka-la
P228213,"MSL 15, 009 U",Old Babylonian,Nippur,OB Nippur Diri,o 6,ganzer,|IGI.KUR.ZA|,da-ni-⸢na⸣
P228213,"MSL 15, 009 U",Old Babylonian,Nippur,OB Nippur Diri,o 7,ganzer₃,,ka-ni-sur-⸢ru⸣
P228213,"MSL 15, 009 U",Old Babylonian,Nippur,OB Nippur Diri,o 8,ganzer₃,,ba-ab
P228213,"MSL 15, 009 U",Old Babylonian,Nippur,OB Nippur Diri,r 1',gurum₂,|IGI.ERIN₂|,pi-qi₃-[it-tum]
P228592,"MSL 12, 175 E",Old Babylonian,Nippur,OB Nippur Diri,o i 1,[lu₂],,⸢mu-ha-x⸣-[...]
P228592,"MSL 12, 175 E",Old Babylonian,Nippur,OB Nippur Diri,o i 2,[lu₂],,ak-lam
P228592,"MSL 12, 175 E",Old Babylonian,Nippur,OB Nippur Diri,o i 3,[lu₂],,ak-lam
P228592,"MSL 12, 175 E",Old Babylonian,Nippur,OB Nippur Diri,o i 4,[lu₂],,la-ap-tam
P228592,"MSL 12, 175 E",Old Babylonian,Nippur,OB Nippur Diri,o i 5,[lu₂],⸢EN⸣,⸢ak-ša-am
P228592,"MSL 12, 175 E",Old Babylonian,Nippur,OB Nippur Diri,o i 6,[lu₂],,⸢ša
P228592,"MSL 12, 175 E",Old Babylonian,Nippur,OB Nippur Diri,o i 7,[lu₂,,[x]
P228592,"MSL 12, 175 E",Old Babylonian,Nippur,OB Nippur Diri,o i frg.a 1',[...]-us₂-a,,pa-⸢at⸣-nu-um
P228592,"MSL 12, 175 E",Old Babylonian,Nippur,OB Nippur Diri,o i frg.a 2',[lu₂],,ra-ap-ša-⸢am
P228592,"MSL 12, 175 E",Old Babylonian,Nippur,OB Nippur Diri,o i frg.a 3',[lu₂],,⸢ša⸣
P228592,"MSL 12, 175 E",Old Babylonian,Nippur,OB Nippur Diri,o i frg.a 4',[lu₂],,pa-⸢li-ih⸣
P228592,"MSL 12, 175 E",Old Babylonian,Nippur,OB Nippur Diri,o i frg.a 5',[lu₂,,pa-⸢li⸣-ih
P228592,"MSL 12, 175 E",Old Babylonian,Nippur,OB Nippur Diri,o i frg.a 6',[lu₂],,a-⸢di-ir
P228592,"MSL 12, 175 E",Old Babylonian,Nippur,OB Nippur Diri,o i frg.a 7',[lu₂],,⸢la⸣-aš-šum
P228592,"MSL 12, 175 E",Old Babylonian,Nippur,OB Nippur Diri,o i frg.a 8',[lu₂],,la-ab-⸢ṣum⸣
P228592,"MSL 12, 175 E",Old Babylonian,Nippur,OB Nippur Diri,r i frg.a 1',dirig,,[na-ha-al]-⸢lum⸣
P228592,"MSL 12, 175 E",Old Babylonian,Nippur,OB Nippur Diri,r i frg.a 2',dirig,,na-sa-qum
P228592,"MSL 12, 175 E",Old Babylonian,Nippur,OB Nippur Diri,r i frg.a 3',dirig,,na-sa-ku-um
P228592,"MSL 12, 175 E",Old Babylonian,Nippur,OB Nippur Diri,r i frg.a 4',dirig,,sa₆-qa₂-ru-um
P228592,"MSL 12, 175 E",Old Babylonian,Nippur,OB Nippur Diri,r i frg.a 5',dirig,,ma-ha-ru-um
P228592,"MSL 12, 175 E",Old Babylonian,Nippur,OB Nippur Diri,r i frg.a 6',dirig,,ma-hu-ru-um
P228592,"MSL 12, 175 E",Old Babylonian,Nippur,OB Nippur Diri,r i frg.a 7',puzur₄,,ra-ga
P228592,"MSL 12, 175 E",Old Babylonian,Nippur,OB Nippur Diri,r i frg.a 8',puzur₄,,⸢hi-di⸣-ir-tum
P228592,"MSL 12, 175 E",Old Babylonian,Nippur,OB Nippur Diri,r ii frg.a 1',ku₇-ku₇,KU₇-[KU₇],
P228704,"FTS, 112 fig. 13",Old Babylonian,Nippur,OB Nippur Diri,o 1,kukku₂,|MI.MI|,ek-⸢le-tum⸣
P228704,"FTS, 112 fig. 13",Old Babylonian,Nippur,OB Nippur Diri,o 2,kukku₂,|MI.MI|,⸢da-x-x-tum⸣
P228704,"FTS, 112 fig. 13",Old Babylonian,Nippur,OB Nippur Diri,o 3,kukku₂,|MI.MI|,u₂-⸢x-lum⸣
P228704,"FTS, 112 fig. 13",Old Babylonian,Nippur,OB Nippur Diri,o 4,kukku₂,|MI.MI|,du-hu-⸢mu⸣-um
P228704,"FTS, 112 fig. 13",Old Babylonian,Nippur,OB Nippur Diri,o 5,ku₇-ku₇,⸢KU₇⸣-KU₇;,ṭa-bu-um
P228704,"FTS, 112 fig. 13",Old Babylonian,Nippur,OB Nippur Diri,o 6,ku₇-ku₇,<(KU₇⸣-KU₇)>,ma-at-qum
P228704,"FTS, 112 fig. 13",Old Babylonian,Nippur,OB Nippur Diri,o 7,ku₇-ku₇,<(KU₇⸣-KU₇)>,ma-ta-qum
P228704,"FTS, 112 fig. 13",Old Babylonian,Nippur,OB Nippur Diri,o 8,ku₇-ku₇,<(KU₇⸣-KU₇)>,mu-ut-qum
P228704,"FTS, 112 fig. 13",Old Babylonian,Nippur,OB Nippur Diri,o 9,ku₇-ku₇,<(KU₇⸣-KU₇)>,⸢da-aš-pu⸣-um
P228704,"FTS, 112 fig. 13",Old Babylonian,Nippur,OB Nippur Diri,o 10,ku₇-ku₇,<(KU₇⸣-KU₇)>,du-uš-⸢šu-pu⸣-um
P228704,"FTS, 112 fig. 13",Old Babylonian,Nippur,OB Nippur Diri,o 11,du₁₂-du₁₂,|TUK.TUK|;,⸢a-ha⸣-zu
P228704,"FTS, 112 fig. 13",Old Babylonian,Nippur,OB Nippur Diri,o 12,du₁₂-du₁₂,|TUK.TUK|,⸢ra-šu⸣-u₂-um
P228704,"FTS, 112 fig. 13",Old Babylonian,Nippur,OB Nippur Diri,o 13,du₁₂-du₁₂,|TUK.TUK|,ša-ru-⸢u₂⸣-um
P228704,"FTS, 112 fig. 13",Old Babylonian,Nippur,OB Nippur Diri,o 14,du₁₂-du₁₂,|TUK.TUK|,za-ma-ru-um
P228704,"FTS, 112 fig. 13",Old Babylonian,Nippur,OB Nippur Diri,o 15,du₁₂-du₁₂,|TUK.TUK|,at-wu-⸢u₂⸣-um
P228704,"FTS, 112 fig. 13",Old Babylonian,Nippur,OB Nippur Diri,o 16,da₁₃-da₁₃,|TAK₄.TAK₄|,⸢e-ze⸣-bu-um
P228704,"FTS, 112 fig. 13",Old Babylonian,Nippur,OB Nippur Diri,o 17,da₁₃-da₁₃,|TAK₄.TAK₄|,še-e-tum
P228704,"FTS, 112 fig. 13",Old Babylonian,Nippur,OB Nippur Diri,o 18,da₁₃-da₁₃,|TAK₄.TAK₄|,ši-ta-tum
P228704,"FTS, 112 fig. 13",Old Babylonian,Nippur,OB Nippur Diri,o 19,tur-tur,TUR-TUR;,⸢ṣe⸣-eh-ru-um
P228704,"FTS, 112 fig. 13",Old Babylonian,Nippur,OB Nippur Diri,o 20,tur-tur,<(TUR-TUR)>,la-hu-tum
P228704,"FTS, 112 fig. 13",Old Babylonian,Nippur,OB Nippur Diri,o 21,tur-tur,<(TUR-TUR)>,en-⸢šu⸣-tum
P228704,"FTS, 112 fig. 13",Old Babylonian,Nippur,OB Nippur Diri,o 22,tur-tur,<(TUR-TUR)>,da-qu₃-⸢tum⸣
P228704,"FTS, 112 fig. 13",Old Babylonian,Nippur,OB Nippur Diri,o 23,tur-tur,<(TUR-TUR)>,u₂-⸢te⸣-ni-⸢x-x⸣
P228704,"FTS, 112 fig. 13",Old Babylonian,Nippur,OB Nippur Diri,o 24,tur-tur,<(TUR-TUR)>,⸢x-UZ⸣-[...]
P228704,"FTS, 112 fig. 13",Old Babylonian,Nippur,OB Nippur Diri,r 1,didla,[TUR]-⸢TUR⸣-LA₂;,⸢ṣu₂-ha-ru⸣-[um]
P228704,"FTS, 112 fig. 13",Old Babylonian,Nippur,OB Nippur Diri,r 2,didla,<([TUR]-TUR-LA₂)>,da-qu₃-[tum]
P228704,"FTS, 112 fig. 13",Old Babylonian,Nippur,OB Nippur Diri,r 3,didla,<([TUR]-TUR-LA₂)>,⸢da⸣-qu₂-[um]
P228704,"FTS, 112 fig. 13",Old Babylonian,Nippur,OB Nippur Diri,r 4,gur₄-gur₄,LAGAB-LAGAB;,⸢i⸣-ta-ag-ru-ru-[um]
P228704,"FTS, 112 fig. 13",Old Babylonian,Nippur,OB Nippur Diri,r 5,gur₄-gur₄,<(LAGAB-LAGAB)>,⸢pu-ug-gu₅⸣-[lum]
P228704,"FTS, 112 fig. 13",Old Babylonian,Nippur,OB Nippur Diri,r 6,gur₄-gur₄,<(LAGAB-LAGAB)>,⸢ka-ab-ru-tum⸣
P228704,"FTS, 112 fig. 13",Old Babylonian,Nippur,OB Nippur Diri,r 7,gur₄-gur₄,<(LAGAB-LAGAB)>,⸢kub-bu-tum⸣
P228704,"FTS, 112 fig. 13",Old Babylonian,Nippur,OB Nippur Diri,r 8,niŋin₂,|LAGAB.LAGAB|;,⸢se₂⸣-ke-⸢ru-um⸣
P228704,"FTS, 112 fig. 13",Old Babylonian,Nippur,OB Nippur Diri,r 9,niŋin₂,|LAGAB.LAGAB|,sa₃-ma-kum
P228704,"FTS, 112 fig. 13",Old Babylonian,Nippur,OB Nippur Diri,r 10,niŋin₂,|LAGAB.LAGAB|,⸢pu-uh₂-hu⸣-ru-um
P228704,"FTS, 112 fig. 13",Old Babylonian,Nippur,OB Nippur Diri,r 11,niŋin₂,|LAGAB.LAGAB|,⸢la-wi-ri⸣-[a]-nu-um
P228704,"FTS, 112 fig. 13",Old Babylonian,Nippur,OB Nippur Diri,r 12,niŋin₂,|LAGAB.LAGAB|,⸢e⸣-du-u₂-um
P228704,"FTS, 112 fig. 13",Old Babylonian,Nippur,OB Nippur Diri,r 13,niŋin₂,|LAGAB.LAGAB|,ṣa-a-⸢du⸣-um
P228704,"FTS, 112 fig. 13",Old Babylonian,Nippur,OB Nippur Diri,r 14,niŋin₂,|LAGAB.LAGAB|,sa₃-⸢ha-ru⸣-um
P228704,"FTS, 112 fig. 13",Old Babylonian,Nippur,OB Nippur Diri,r 15,niŋin₂,|LAGAB.LAGAB|,⸢la-wu⸣-u₂-um
P228704,"FTS, 112 fig. 13",Old Babylonian,Nippur,OB Nippur Diri,r 16,niŋin₂,|LAGAB.LAGAB|,ša-a-u₂
P228704,"FTS, 112 fig. 13",Old Babylonian,Nippur,OB Nippur Diri,r 17,niŋin₂,|LAGAB.LAGAB|,⸢e-ge⸣-ru-um
P228704,"FTS, 112 fig. 13",Old Babylonian,Nippur,OB Nippur Diri,r 18,niŋin₂,|LAGAB.LAGAB|,e-⸢be₂⸣-ṭum
P228704,"FTS, 112 fig. 13",Old Babylonian,Nippur,OB Nippur Diri,r 19,niŋin₂,|LAGAB.LAGAB|,i-ta-as₂-hu-rum
P228704,"FTS, 112 fig. 13",Old Babylonian,Nippur,OB Nippur Diri,r 20,niŋin₂,|LAGAB.LAGAB|,ka-na-nu-um
P228704,"FTS, 112 fig. 13",Old Babylonian,Nippur,OB Nippur Diri,r 21,tutku,|LAGAB×(U.U.U).LAGAB×(U.U.U)|;,na-a-šum
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,o 1,{d}nuska,{d}|PA.TUG₂|,nu-uš-⸢ka⸣
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,o 2,{d}nuska₂,{d}|PA.LU|,nu-uš-ka
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,o 3,{d}enšadu,{d}|PA.LU|,im-ša-at-tu
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,o 4,{d}nisaba₂,,ni-is-sa₃-ba
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,o 5,{d}nanibgal,{d}|AN.NAGA|,na-ni-ib-gal
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,o 6,{d}ha-ia₃,,ha-a-a-um
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,o 7,{d}bibra,,bi-ib-⸢ru⸣-um
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,o 8,{d}udug,,u₂-tu-uk-kum
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,o 9,{d}udug,,še-e-du-u₂-um
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,o 10,an-usan,AN-USAN,li-li-⸢a⸣-tu
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,o 11,{d}uraš,,an-tum
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,o 12,{d}lahar,{d}|LAGAB×(GUD&GUD)|,la-ha-ar
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,o 13,{d}šakkan₂,,ša-am-ka-an
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,o 14,{d}en-ki,,e₂-a
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,o 15,{[d}X]-⸢X⸣,,e₂-a
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,o 16,{d}asari,{[d]}|URU×IGI|,ma-ru-tu-uk
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,o 17,{d}asar-lu₂-hi,{⸢d}|URU×IGI|LU₂-HI,a-sa-lu-uh₂
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,o 18,{d}en-lil₂,{⸢d⸣}|EN.KID|,{d}EN.LIL₂
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,o 19,{d}nin-lil₂,{⸢d⸣}|SAL.TUG₂|KID,{d}NIN.LIL₂
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,o 20,{d}nanna,{⸢d⸣}|ŠEŠ.KI|,{d}SUEN
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,o 21,{d}suen,{⸢d⸣}|EN.ZU|,{[d]}⸢SUEN⸣
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,o 22,{d}dil-im₂-babbar,,{⸢d}SUEN⸣
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,o 23,{d}nin-urta,{⸢d⸣}|SAL.TUG₂|IB,{[d]}⸢NIN⸣.URTA
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,o 24,{d}ud-ta-u₁₈-lu,{d}UD-⸢TA-|URU×MIN|[LU],{[d]}⸢NIN⸣.URTA
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,o 25,{⸢d⸣}[...],,[x]-⸢AN⸣-AN
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r i' 1,,|ŠU.KAL|,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r i' 2,šu-[keš₂],,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r i' 3,⸢šu⸣,,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r i' 4,⸢šu⸣,,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r i' 5,šu,,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r i' 6,šu,,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r i' 7,šu,,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r i' 8,⸢šu⸣,,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r i' 9,⸢šu⸣,,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r i' 10,⸢šu⸣,,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r i' 11,⸢šu⸣,,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r i' 12,⸢šu⸣-<<ha>>-[ku₆],,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r i' 13,⸢šu⸣-ku₆,,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r i' 14,⸢šu⸣,,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r i' 15,šu,,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r i' 16,⸢šu⸣,,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r i' 17,⸢šu,,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r i' 18,⸢šu,,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r i' 19,šu,,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r i' 20,šu,,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r i' 21,⸢šu⸣-še₃,,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r i' 22,⸢šu,,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r i' 23,⸢šu,,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r i' 24,⸢šu,,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r i' 25,šu,,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r i' 26,šu,,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r i' 27,šu,,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r i' 28,šu-⸢niŋin⸣,,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r i' 29,šu,,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r i' 30,šu,,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r i' 31,šu,,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r i' 32,šu,,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r i' 33,šu-⸢x⸣,,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r i' 34,⸢šu⸣,,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r i' 35,šu,,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r i' 36,šu,,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r i' 37,šu,,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r i' 38,šu,,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r i' 39,šu,,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r i' 40,šu,,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r ii' 1,[šu,,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r ii' 2,[šu],,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r ii' 3,[šu],,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r ii' 4,[šu],,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r ii' 5,[šu],,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r ii' 6,šu,,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r ii' 7,šu,,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r ii' 8,šu,,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r ii' 9,šu,,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r ii' 10,bar-šu,,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r ii' 11,bar-šu-⸢ŋal₂⸣,,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r ii' 12,bar-šu-ŋal₂,,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r ii' 13,sa,,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r ii' 14,sa,,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r ii' 15,sa,,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r ii' 16,sa,,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r ii' 17,⸢sa⸣,,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r ii' 18,sa,,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r ii' 19,sa,,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r ii' 20,⸢sa⸣-sa,,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r ii' 21,⸢sa⸣-dah,,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r ii' 22,še,,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r ii' 23,sa-⸢dur₂⸣,,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r ii' 24,sa-KU,,
P228839,"MSL 13, 094 W1",Old Babylonian,Nippur,OB Nippur Diri,r ii' 25,sa-KU,,
